,LE
% Above Low,0.46840000000000004
% Held by Institutions,0.3812
52-Wk Range,['7.60 - 25.50']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.6
Bid,
Bid Size,
Closing Price,11.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.29
Ex-dividend Date,No dividend
Historical Volatility,0.705
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,369.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.91
Prev Close,11.16
Short Interest,0.0601
Today's Open,
Volume,32478.0
Volume 10-day Avg,143300.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.01785714285714257
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.008928571428571286
Growth 2yr Low Est,0.14927944862155373
Growth 2yr High Est,0.43442622950819665
Growth 2yr Consensus Est,0.2918528390648752
Growth 5yr Low Est,0.07463972431077687
Growth 5yr High Est,0.21721311475409832
Growth 5yr Consensus Est,0.1459264195324376
Growth 5yr Actual/Est,0.4136085430576956
Growth 3yr Historic,0.3875
Price/Earnings (TTM),37.91276
Price/Sales (TTM),0.233
Price/Book (MRQ),0.93195
Price/Cash Flow (TTM),7.5579
5yr Low,4.05
5yr High,44.4
5yr Avg Return,0.036216666666666696
EPS Growth 5yr,
Revenue Growth 5yr,0.041463599999999996
Dividend Growth 5yr,
Short Int Current Month,792494.0
Short Int Prev Month,777830.0
Short Int Pct of Float,0.0601003
Days to Cover,5.05536
Float,13.20888
Shares Outstanding,33.11456
Institutions Holding Shares,157.0
FCF Growth 5yr,-2.2124126830668653
"Price/Earnings (TTM, GAAP)",37.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40299999999999997
Operating Profit Margin (TTM),0.028999999999999998
Net Profit Margin (TTM),0.0063
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0864
EPS Growth (TTM),-0.7867000000000001
Revenue Growth (MRQ),0.1565
Revenue Growth (TTM),-0.011000000000000001
Return On Equity (TTM),0.025400000000000002
Return On Assets (TTM),0.0086
Return On Investment (TTM),0.0126
Revenue Per Employee (TTM),317212.0
Total Debt/Total Capital (MRQ),0.4888
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),0.3
Interest Coverage (MRQ),0.63
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-08-24 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
