,MBUU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.17,71.6,Valuation,0.10013966480446929
Price/Sales (TTM),0.92,1.12,Valuation,0.8214285714285714
Price/Book (MRQ),2.19,4.04,Valuation,0.5420792079207921
"PEG Ratio (TTM, GAAP)",,2.17,Valuation,
Gross Profit Margin (TTM),0.2571,0.4144,Profitability,0.6204150579150579
Operating Profit Margin (TTM),0.1786,0.0529,Profitability,3.376181474480151
Net Profit Margin (TTM),0.1358,0.0173,Profitability,7.84971098265896
Annual Dividend Yield,,0.0165,Dividend,
Dividend Change %,,0.08750000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0415,Dividend,
EPS Growth (MRQ),-0.2713,0.1759,Gowth rates,-1.542353610005685
EPS Growth (TTM),0.4489,-0.3306,Gowth rates,-1.3578342407743498
Revenue Growth (MRQ),-0.1444,0.06280000000000001,Gowth rates,-2.2993630573248405
Revenue Growth (TTM),0.26480000000000004,0.1151,Gowth rates,2.3006081668114686
Return On Equity (TTM),0.3561,0.0245,Effectiveness,14.534693877551021
Return On Assets (TTM),0.21550000000000002,0.0403,Effectiveness,5.347394540942928
Return On Investment (TTM),0.28250000000000003,0.0563,Effectiveness,5.017761989342807
Revenue Per Employee (TTM),419102.0,596566.0,Effectiveness,0.7025241130067754
Total Debt/Total Capital (MRQ),0.11480000000000001,0.4744,Financial strength,0.24198988195615517
Change in Debt/Total Capital Quarter over Quarter,-0.0049,0.0019,Financial strength,-2.5789473684210527
Quick Ratio (MRQ),0.67,1.03,Financial strength,0.6504854368932039
Interest Coverage (MRQ),37.73,16.69,Financial strength,2.260635110844817
