,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,52.93,70.33,17.26,,,,,
low,21.62,12.68,7.59,,,,,
change,0.6987000000000001,-0.6087,-0.2257,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,50564.0,55288.0,35194.0,30208.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,76703.0,61627.0,39230.0,35064.0,Balance Sheet
Prov. for Doubtful Accts,,,,-609.0,-464.0,-374.0,-356.0,Balance Sheet
"Total Receivables, Net",,,,76094.0,61163.0,38856.0,34708.0,Balance Sheet
Prepaid Expenses,,,,10448.0,7820.0,6359.0,4951.0,Balance Sheet
Total Current Assets,,,,137106.0,124271.0,80409.0,69867.0,Balance Sheet
"Goodwill, Gross",,,,18402.0,18402.0,47739.0,47739.0,Balance Sheet
Accum. Goodwill Amort.,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Goodwill, Net",,,,18402.0,18402.0,47739.0,47739.0,Balance Sheet
Intangibles - Gross,,,,26567.0,26567.0,52687.0,52687.0,Balance Sheet
Accum. Intangible Amort.,,,,-14000.0,-14683.0,-16360.0,-18064.0,Balance Sheet
Intangibles - Net,,,,12567.0,11884.0,36327.0,34623.0,Balance Sheet
Other Long Term Assets,,,,19073.0,18805.0,18395.0,9406.0,Balance Sheet
Total Assets,,,,289804.0,275221.0,285878.0,265219.0,Balance Sheet
Accounts Payable,,,,61770.0,51509.0,33434.0,42336.0,Balance Sheet
Accrued Expenses,,,,13716.0,10012.0,13204.0,12723.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,8730.0,8740.0,8749.0,8760.0,Balance Sheet
Total Current Liabilities,,,,84216.0,70261.0,55387.0,63819.0,Balance Sheet
Total Long Term Debt,,,,178069.0,175878.0,198686.0,181494.0,Balance Sheet
Total Debt,,,,186799.0,184618.0,207435.0,190254.0,Balance Sheet
Minority Interest,,,,-57229.0,-59866.0,-62910.0,-69597.0,Balance Sheet
"Other Liabilities, Total",,,,89085.0,86731.0,91278.0,88308.0,Balance Sheet
Total Liabilities,,,,294141.0,273004.0,282441.0,264024.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,606.0,612.0,614.0,619.0,Balance Sheet
Additional Paid-In Capital,,,,419533.0,433157.0,443514.0,455753.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-424476.0,-431552.0,-440691.0,-455177.0,Balance Sheet
Total Equity,,,,-4337.0,2217.0,3437.0,1195.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,289804.0,275221.0,285878.0,265219.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,41000.0,41600.0,42200.0,42700.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,19600.0,19600.0,19200.0,19200.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,60600.0,61200.0,61400.0,61900.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,161584.0,142599.0,103449.0,89017.0,Income Statement
"Cost of Revenue, Total",,,,136187.0,120881.0,87925.0,76343.0,Income Statement
Selling/Gen/Admin Expense,,,,12607.0,13245.0,6640.0,5079.0,Income Statement
Labor & Related Expense,,,,10175.0,11126.0,11957.0,11175.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,22782.0,24371.0,18597.0,16254.0,Income Statement
Research & Development,,,,4291.0,5216.0,5661.0,5291.0,Income Statement
Depreciation/Amortization,,,,,,1677.0,1704.0,Income Statement
Total Operating Expense,,,,163260.0,150468.0,113860.0,99592.0,Income Statement
Total Operating Income,,,,-1676.0,-7869.0,-10411.0,-10575.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-1527.0,-1359.0,-1956.0,-2593.0,Income Statement
OtherNon-OperatInc (Expnse),,,,-3504.0,523.0,-44.0,-8602.0,Income Statement
"Other, Net",,,,-3504.0,523.0,-44.0,-8602.0,Income Statement
Income Before Tax,,,,-6707.0,-8705.0,-12411.0,-21770.0,Income Statement
Income Tax - Total,,,,-2683.0,1143.0,611.0,-544.0,Income Statement
Income After Tax,,,,-4024.0,-9848.0,-13022.0,-21226.0,Income Statement
Minority Interest,,,,2179.0,2772.0,3883.0,6740.0,Income Statement
Net Inc Before Extra Items,,,,-1845.0,-7076.0,-9139.0,-14486.0,Income Statement
Total Net Income,,,,-1845.0,-7076.0,-9139.0,-14486.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-1845.0,-7076.0,-9139.0,-14486.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-1845.0,-7076.0,-9139.0,-14486.0,Income Statement
Basic/Primary Weighted Average Shares,,,,39843.0,40848.0,41705.0,42210.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
Diluted Weighted Average Shares,,,,39843.0,40848.0,41705.0,42210.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,1527.0,1359.0,1956.0,2593.0,Income Statement
"Depreciat/Amort, Suppl",,,,97.0,98.0,99.0,99.0,Income Statement
Total Special Items,,,,,-66.0,194.0,119.0,Income Statement
Normalzd Income Before Tax,,,,-6707.0,-8771.0,-12217.0,-21651.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,-23.0,68.0,42.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-2683.0,1120.0,679.0,-502.0,Income Statement
Normalized Income After Tax,,,,-4024.0,-9891.0,-12896.0,-21149.0,Income Statement
Normalzd Inc Avail to Common,,,,-1845.0,-7119.0,-9013.0,-14409.0,Income Statement
Basic Normalized EPS,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
Diluted Normalized EPS,,,,-0.05,-0.17,-0.22,-0.34,Income Statement
