,MAX
% Above Low,0.5863
% Held by Institutions,0.9537
52-Wk Range,['7.59 - 17.26']
Annual Dividend $,
Annual Dividend %,
Ask,14.97
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,11.25
Bid Size,300.0
Closing Price,12.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.687
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,519.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.04
Short Interest,0.038900000000000004
Today's Open,
Volume,239174.0
Volume 10-day Avg,304338.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,8.799999999999999
Growth 1yr High Est,9.0
Growth 1yr Consensus Est,8.899999999999999
Growth 2yr Low Est,4.36938775510204
Growth 2yr High Est,4.15625
Growth 2yr Consensus Est,4.26281887755102
Growth 5yr Low Est,4.36938775510204
Growth 5yr High Est,4.15625
Growth 5yr Consensus Est,4.26281887755102
Growth 5yr Actual/Est,2.8154253154253155
Growth 3yr Historic,-0.11904761904761907
Price/Earnings (TTM),
Price/Sales (TTM),1.50983
Price/Book (MRQ),623.6619
Price/Cash Flow (TTM),
5yr Low,7.59
5yr High,70.33
5yr Avg Return,-0.045233333333333306
Short Int Current Month,1579949.0
Short Int Prev Month,1589538.0
Short Int Pct of Float,0.0389003
Days to Cover,4.01892
Float,40.63684
Shares Outstanding,62.28043
Institutions Holding Shares,129.0
FCF Growth 5yr,0.49932724455334787
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1516
Operating Profit Margin (TTM),-0.061500000000000006
Net Profit Margin (TTM),-0.0969
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5661
EPS Growth (TTM),0.19100000000000003
Revenue Growth (MRQ),-0.13949999999999999
Revenue Growth (TTM),-0.263
Return On Equity (TTM),
Return On Assets (TTM),-0.1884
Return On Investment (TTM),-0.1861
Revenue Per Employee (TTM),3333215.0
Total Debt/Total Capital (MRQ),1.5614
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.03
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-06 00:00:00
theStreet since,2022-05-06 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
