,MKC
% Above Low,0.1927
% Held by Institutions,0.8626
52-Wk Range,['71.19 - 107.35']
Annual Dividend $,1.48
Annual Dividend %,0.0174
Ask,87.71
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.6
Bid,76.7
Bid Size,500.0
Closing Price,84.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-25 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.263
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,22.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.07
Prev Close,84.91
Short Interest,0.0322
Today's Open,
Volume,1003054.0
Volume 10-day Avg,1202457.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.12040133779264228
Growth 1yr High Est,0.0033112582781456013
Growth 1yr Consensus Est,-0.05854503975724834
Growth 2yr Low Est,-0.027881277261340154
Growth 2yr High Est,0.05776123970012892
Growth 2yr Consensus Est,0.014939981219394383
Growth 5yr Low Est,-0.1170264321109491
Growth 5yr High Est,-0.07676346199071568
Growth 5yr Consensus Est,-0.09689494705083239
Growth 5yr Actual/Est,0.027886789846682025
Growth 3yr Historic,0.033427166288697796
Price/Earnings (TTM),33.06644
Price/Sales (TTM),3.56633
Price/Book (MRQ),4.96229
Price/Cash Flow (TTM),26.61759
5yr Low,49.17
5yr High,107.35
5yr Avg Return,0.10441666666666669
EPS Growth 5yr,0.0868953
Revenue Growth 5yr,0.0744774
Dividend Growth 5yr,0.0959938
Short Int Current Month,8036021.0
Short Int Prev Month,7248830.0
Short Int Pct of Float,0.032216999999999996
Days to Cover,6.7691
Float,263.3825
Shares Outstanding,268.207
Institutions Holding Shares,1247.0
FCF Growth 5yr,-1.1503729603729602
"Price/Earnings (TTM, GAAP)",33.07
"PEG Ratio (TTM, GAAP)",6.48
Gross Profit Margin (TTM),0.3693
Operating Profit Margin (TTM),0.1371
Net Profit Margin (TTM),0.1034
Annual Dividend Yield,0.0174
Dividend Change %,0.0968
"Dividend Growth Rate, 3 Years",0.0935
EPS Growth (MRQ),0.8831
EPS Growth (TTM),-0.0867
Revenue Growth (MRQ),0.0383
Revenue Growth (TTM),0.039
Return On Equity (TTM),0.15460000000000002
Return On Assets (TTM),0.051100000000000007
Return On Investment (TTM),0.0677
Revenue Per Employee (TTM),456079.0
Total Debt/Total Capital (MRQ),0.5379
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),6.3
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-06-16 00:00:00
cfra since,2022-10-06 00:00:00
ford since,2020-09-11 00:00:00
marketEdge opinion since,
