,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,50.97,47.9,44.32,,,,,
low,15.2,14.27,7.67,,,,,
change,0.4919,0.32049999999999995,-0.29760000000000003,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,131301.0,143467.0,176385.0,146073.0,Balance Sheet
"Trade Accts Recvble, Net",,,,373.0,377.0,243.0,243.0,Balance Sheet
Other Receivables,,,,505.0,56.0,41.0,72.0,Balance Sheet
"Total Receivables, Net",,,,878.0,433.0,284.0,315.0,Balance Sheet
Prepaid Expenses,,,,6933.0,6502.0,4954.0,7366.0,Balance Sheet
Total Current Assets,,,,139112.0,150402.0,181623.0,153754.0,Balance Sheet
Buildings,,,,441.0,441.0,441.0,441.0,Balance Sheet
Machinery/Equipment,,,,6328.0,6498.0,6861.0,7029.0,Balance Sheet
Construction in Progress,,,,281.0,253.0,78.0,65.0,Balance Sheet
Other Prop./Plant/Equip.,,,,6852.0,6460.0,6059.0,5659.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,13902.0,13652.0,13439.0,13194.0,Balance Sheet
Accumulated Depreciation,,,,-4411.0,-4718.0,-5016.0,-5260.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,9491.0,8934.0,8423.0,7934.0,Balance Sheet
Other Long Term Assets,,,,1847.0,1847.0,3164.0,3164.0,Balance Sheet
Total Assets,,,,150450.0,161183.0,193210.0,164852.0,Balance Sheet
Accounts Payable,,,,9125.0,7893.0,9247.0,8569.0,Balance Sheet
Accrued Expenses,,,,11295.0,10984.0,14237.0,16417.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,2034.0,1228.0,717.0,440.0,Balance Sheet
Other Current Liabilities,,,,,,,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,2034.0,1228.0,717.0,440.0,Balance Sheet
Total Current Liabilities,,,,22454.0,20105.0,24201.0,25426.0,Balance Sheet
