,INBX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),276.69,45.03,Valuation,6.144570286475683
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-23.6743,-4.7459,Profitability,4.98836890789945
Net Profit Margin (TTM),-26.2887,-4.5467,Profitability,5.781929751248157
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0645,-0.0014000000000000002,Gowth rates,-46.07142857142857
EPS Growth (TTM),-0.5562,0.027200000000000002,Gowth rates,-20.448529411764707
Revenue Growth (MRQ),-0.609,1.3963999999999999,Gowth rates,-0.4361214551704383
Revenue Growth (TTM),-0.33240000000000003,0.9747,Gowth rates,-0.34102800861803634
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.8537,0.0016,Effectiveness,-533.5625
Return On Investment (TTM),-1.031,0.0219,Effectiveness,-47.077625570776256
Revenue Per Employee (TTM),45038.0,1476201.0,Effectiveness,0.03050939540076182
Total Debt/Total Capital (MRQ),1.2582,0.4675,Financial strength,2.6913368983957215
Change in Debt/Total Capital Quarter over Quarter,0.0091,0.0036,Financial strength,2.527777777777778
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-5.62,2.69,Financial strength,-2.089219330855019
