,INBX
% Below High,0.34049999999999997
% Held by Institutions,0.7602
52-Wk Range,['7.67 - 45.99']
Annual Dividend $,
Annual Dividend %,
Ask,32.9
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,
Bid,24.0
Bid Size,2000.0
Closing Price,30.33
Day Change $,0.89
Day Change %,0.0302
Day High,30.48
Day Low,29.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.22
Ex-dividend Date,No dividend
Historical Volatility,1.001
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,29.44
Short Interest,0.1583
Today's Open,29.05
Volume,98258.0
Volume 10-day Avg,480960.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.6205357142857142
Growth 1yr High Est,0.502487562189055
Growth 1yr Consensus Est,0.5615116382373846
Growth 2yr Low Est,0.30751303620621795
Growth 2yr High Est,0.29925702612764005
Growth 2yr Consensus Est,0.303385031166929
Growth 5yr Low Est,0.30751303620621795
Growth 5yr High Est,0.29925702612764005
Growth 5yr Consensus Est,0.303385031166929
Growth 5yr Actual/Est,0.0983111849390919
Growth 3yr Historic,-0.09523809523809523
Price/Earnings (TTM),
Price/Sales (TTM),276.6893
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,7.67
5yr High,50.97
5yr Avg Return,0.17159999999999997
Short Int Current Month,4490687.0
Short Int Prev Month,4617828.0
Short Int Pct of Float,0.1583118
Days to Cover,9.11744
Float,31.25395
Shares Outstanding,43.55142
Institutions Holding Shares,151.0
FCF Growth 5yr,0.302561273982545
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-23.6743
Net Profit Margin (TTM),-26.2887
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0645
EPS Growth (TTM),-0.5562
Revenue Growth (MRQ),-0.609
Revenue Growth (TTM),-0.33240000000000003
Return On Equity (TTM),
Return On Assets (TTM),-0.8537
Return On Investment (TTM),-1.031
Revenue Per Employee (TTM),45038.0
Total Debt/Total Capital (MRQ),1.2582
Change in Debt/Total Capital Quarter over Quarter,0.0091
Quick Ratio (MRQ),
Interest Coverage (MRQ),-5.62
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-09-21 00:00:00
researchTeam since,2021-09-21 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
