,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.92,46.33,57.26,68.46,65.8,,,,,
low,21.0,26.57,28.14,47.65,43.42,,,,,
change,-0.077,0.6212,0.2267,-0.036000000000000004,0.1153,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,73.0,89.0,77.0,112.0,Balance Sheet
"Total Receivables, Net",,,,,,311.0,374.0,350.0,326.0,Balance Sheet
Invent. - Finished Goods,,,,,,120.0,122.0,107.0,112.0,Balance Sheet
Invent. - Work In Progress,,,,,,54.0,64.0,53.0,56.0,Balance Sheet
Invent. - Raw Materials,,,,,,151.0,157.0,136.0,161.0,Balance Sheet
Total Inventory,,,,,,325.0,343.0,296.0,329.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,,117.0,115.0,Balance Sheet
Other Current Assets,,,,,,60.0,37.0,31.0,41.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,60.0,37.0,148.0,156.0,Balance Sheet
Total Current Assets,,,,,,768.0,842.0,871.0,923.0,Balance Sheet
Buildings,,,,,,301.0,305.0,294.0,295.0,Balance Sheet
Land/Improvements,,,,,,137.0,140.0,140.0,137.0,Balance Sheet
Machinery/Equipment,,,,,,974.0,991.0,930.0,947.0,Balance Sheet
Construction in Progress,,,,,,45.0,50.0,65.0,74.0,Balance Sheet
Natural Resources,,,,,,507.0,505.0,508.0,503.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,21.0,21.0,30.0,30.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1986.0,2011.0,1967.0,1985.0,Balance Sheet
Accumulated Depreciation,,,,,,-763.0,-794.0,-758.0,-784.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1223.0,1218.0,1209.0,1201.0,Balance Sheet
"Goodwill, Net",,,,,,935.0,939.0,951.0,959.0,Balance Sheet
Intangibles - Gross,,,,,,261.0,261.0,317.0,316.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-41.0,-45.0,-50.0,-55.0,Balance Sheet
Intangibles - Net,,,,,,220.0,216.0,267.0,261.0,Balance Sheet
Other Long Term Assets,,,,,,29.0,31.0,28.0,28.0,Balance Sheet
Total Assets,,,,,,3188.0,3257.0,3337.0,3381.0,Balance Sheet
Accounts Payable,,,,,,185.0,229.0,220.0,222.0,Balance Sheet
Accrued Expenses,,,,,,146.0,140.0,124.0,135.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,15.0,14.0,14.0,14.0,Balance Sheet
Other Payables,,,,,,19.0,20.0,14.0,16.0,Balance Sheet
Discontinued Operations,,,,,,,,45.0,37.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,19.0,20.0,59.0,53.0,Balance Sheet
Total Current Liabilities,,,,,,364.0,404.0,416.0,423.0,Balance Sheet
Long Term Debt,,,,,,665.0,656.0,684.0,683.0,Balance Sheet
