,ACA
% Below High,0.09759999999999999
% Held by Institutions,0.9057
52-Wk Range,['43.42 - 65.80']
Annual Dividend $,0.2
Annual Dividend %,0.0034000000000000002
Ask,65.75
Ask Size,1400.0
B/A Ratio,0.14285714285714285
B/A Size,200x1400
Beta,0.5
Bid,56.01
Bid Size,200.0
Closing Price,59.38
Day Change $,0.51
Day Change %,0.0087
Day High,60.21
Day Low,58.96
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",2.06
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.38200000000000006
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",28.86
Prev Close,58.87
Short Interest,0.0154
Today's Open,59.06
Volume,66466.0
Volume 10-day Avg,181537.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.1439999999999999
Growth 1yr High Est,-0.12941176470588223
Growth 1yr Consensus Est,-0.13670588235294107
Growth 2yr Low Est,-0.21452336448598125
Growth 2yr High Est,-0.09623741388447266
Growth 2yr Consensus Est,-0.15538038918522695
Growth 5yr Low Est,-0.07445625237873724
Growth 5yr High Est,-0.03249370694223633
Growth 5yr Consensus Est,-0.05347497966048678
Growth 5yr Actual/Est,-0.05165742436106238
Growth 3yr Historic,-0.0424229266174555
Price/Earnings (TTM),28.86363
Price/Sales (TTM),1.26807
Price/Book (MRQ),1.42947
Price/Cash Flow (TTM),11.27765
5yr Low,21.0
5yr High,68.46
5yr Avg Return,0.17004000000000002
EPS Growth 5yr,-0.1080598
Revenue Growth 5yr,0.0362838
Dividend Growth 5yr,
Short Int Current Month,738949.0
Short Int Prev Month,774490.0
Short Int Pct of Float,0.0154169
Days to Cover,3.29156
Float,47.83731
Shares Outstanding,48.35448
Institutions Holding Shares,358.0
FCF Growth 5yr,-19.779927109615926
"Price/Earnings (TTM, GAAP)",28.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.18850000000000003
Operating Profit Margin (TTM),0.06910000000000001
Net Profit Margin (TTM),0.0443
Annual Dividend Yield,0.0034000000000000002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1778
EPS Growth (TTM),0.4131
Revenue Growth (MRQ),0.0018
Revenue Growth (TTM),0.1474
Return On Equity (TTM),0.050300000000000004
Return On Assets (TTM),0.0301
Return On Investment (TTM),0.0342
Revenue Per Employee (TTM),366985.0
Total Debt/Total Capital (MRQ),0.2591
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.4
Interest Coverage (MRQ),5.88
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
theStreet since,2022-08-05 00:00:00
newConstructs since,
marketEdge opinion since,
