,PEP
% Below High,0.0108
% Held by Institutions,0.7070000000000001
52-Wk Range,['153.37 - 186.62']
Annual Dividend $,4.6
Annual Dividend %,0.025
Ask,184.65
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,184.59
Bid Size,100.0
Day Change $,0.5
Day Change %,0.0027
Day High,185.49
Day Low,184.33
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",7.05
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.2
Last (size),400.0
Last (time),10:31a ET 11/28/22
Market Cap,254.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.11
Prev Close,184.11
Price,184.61
Short Interest,0.0073
Today's Open,184.4
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.08387096774193536
Growth 1yr High Est,0.09968354430379756
Growth 1yr Consensus Est,0.09177725602286646
Growth 2yr Low Est,0.06797715053763442
Growth 2yr High Est,0.0922878153173664
Growth 2yr Consensus Est,0.08013248292750041
Growth 5yr Low Est,0.06586554165398031
Growth 5yr High Est,0.0809943460289772
Growth 5yr Consensus Est,0.07342994384147876
Growth 5yr Actual/Est,0.07226291247738229
Growth 3yr Historic,0.03306241318761957
Price/Earnings (TTM),26.10801
Price/Sales (TTM),3.0325
Price/Book (MRQ),13.37871
Price/Cash Flow (TTM),20.1774
5yr Low,95.94
5yr High,186.62
5yr Avg Return,0.08961666666666668
EPS Growth 5yr,0.0521889
Revenue Growth 5yr,0.0482249
Dividend Growth 5yr,0.0749007
Short Int Current Month,10092831.0
Short Int Prev Month,9424716.0
Short Int Pct of Float,0.007337399999999999
Days to Cover,2.08941
Float,1375.65
Shares Outstanding,1377.709
Institutions Holding Shares,3684.0
FCF Growth 5yr,2.056115593084184
"Price/Earnings (TTM, GAAP)",26.11
"PEG Ratio (TTM, GAAP)",3.2
Gross Profit Margin (TTM),0.5324
Operating Profit Margin (TTM),0.1562
Net Profit Margin (TTM),0.11800000000000001
Annual Dividend Yield,0.025
Dividend Change %,0.0559
"Dividend Growth Rate, 3 Years",0.0579
EPS Growth (MRQ),0.9538
EPS Growth (TTM),0.1754
Revenue Growth (MRQ),0.08630000000000002
Revenue Growth (TTM),0.0908
Return On Equity (TTM),0.5624
Return On Assets (TTM),0.1052
Return On Investment (TTM),0.1444
Revenue Per Employee (TTM),270693.0
Total Debt/Total Capital (MRQ),0.6722
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),11.79
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2018-07-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-12 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
