,DAL
% Above Low,0.2904
% Held by Institutions,0.642
52-Wk Range,['27.20 - 46.27']
Annual Dividend $,
Annual Dividend %,
Ask,35.15
Ask Size,1500.0
B/A Ratio,0.4
B/A Size,600x1500
Beta,1.2
Bid,35.1
Bid Size,600.0
Closing Price,35.1
Day Change $,0.61
Day Change %,0.0177
Day High,35.39
Day Low,34.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),257.0
Last (time),5:00p ET 11/25/22
Market Cap,22.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",308.68
Prev Close,34.49
Short Interest,0.028399999999999998
Today's Open,34.5
Volume,4352610.0
Volume 10-day Avg,7029668.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.5720081135902637
Growth 1yr High Est,-1.745
Growth 1yr Consensus Est,-1.658504056795132
Growth 2yr Low Est,-0.7718196596320113
Growth 2yr High Est,-0.19800335570469807
Growth 2yr Consensus Est,-0.48491150766835467
Growth 5yr Low Est,-1.2033721093552043
Growth 5yr High Est,-0.8263715731789008
Growth 5yr Consensus Est,-1.0148718412670525
Growth 5yr Actual/Est,-1.0295252164004993
Growth 3yr Historic,-0.7731935170540941
Price/Earnings (TTM),308.68
Price/Sales (TTM),0.48278
Price/Book (MRQ),4.90321
Price/Cash Flow (TTM),10.51669
5yr Low,17.51
5yr High,63.44
5yr Avg Return,-0.04218333333333333
EPS Growth 5yr,-0.3986829
Revenue Growth 5yr,-0.053932900000000006
Dividend Growth 5yr,
Short Int Current Month,18145043.0
Short Int Prev Month,17472925.0
Short Int Pct of Float,0.0284024
Days to Cover,1.93705
Float,639.0908
Shares Outstanding,641.1884
Institutions Holding Shares,1169.0
FCF Growth 5yr,104.77730596663444
"Price/Earnings (TTM, GAAP)",308.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4243
Operating Profit Margin (TTM),0.049400000000000006
Net Profit Margin (TTM),0.0018
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.054400000000000004
EPS Growth (TTM),1.8656000000000001
Revenue Growth (MRQ),0.010900000000000002
Revenue Growth (TTM),0.9103
Return On Equity (TTM),0.022799999999999997
Return On Assets (TTM),0.0011
Return On Investment (TTM),0.0017000000000000001
Revenue Per Employee (TTM),561651.0
Total Debt/Total Capital (MRQ),0.835
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),2.98
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-21 00:00:00
cfra since,2021-07-14 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-21 00:00:00
