,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,38.75,131.0,464.0,256.14,,,,,
low,12.53,28.0,83.0,117.08,,,,,
change,1.0533,1.2803,2.0169,-0.39,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,,1693.0,6164.0,9335.0,13424.0,Balance Sheet
Short Term Investments,,,,,382.0,1.0,0.0,5.0,Balance Sheet
Cash and Short Term Invs,,,,,2074.0,6165.0,9335.0,13429.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,12382.0,12696.0,10383.0,7309.0,Balance Sheet
Other Receivables,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,12382.0,12696.0,10383.0,7310.0,Balance Sheet
Invent. - Finished Goods,,,,,170.0,,,,Balance Sheet
Invent. - Work In Progress,,,,,85.0,,,,Balance Sheet
Invent. - Raw Materials,,,,,248.0,,,,Balance Sheet
Total Inventory,,,,,503.0,459.0,368.0,295.0,Balance Sheet
"Other Curr. Assets, Total",,,,,113.0,146.0,122.0,236.0,Balance Sheet
Total Current Assets,,,,,15072.0,19466.0,20208.0,21269.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,520.0,557.0,664.0,761.0,Balance Sheet
Intangibles - Net,,,,,202.0,216.0,221.0,226.0,Balance Sheet
Long Term Investments,,,,,21.0,48.0,52.0,53.0,Balance Sheet
Deferred Charges,,,,,14.0,11.0,9.0,8.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,,344.0,Balance Sheet
Other Long Term Assets,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,15831.0,20300.0,21155.0,22661.0,Balance Sheet
Accounts Payable,,,,,160.0,124.0,291.0,297.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,130.0,31.0,32.0,37.0,Balance Sheet
Customer Advances,,,,,186.0,192.0,656.0,674.0,Balance Sheet
Income Taxes Payable,,,,,1569.0,1614.0,1418.0,1388.0,Balance Sheet
Other Current Liabilities,,,,,1437.0,1894.0,1526.0,1563.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,3192.0,3700.0,3600.0,3624.0,Balance Sheet
Total Current Liabilities,,,,,3482.0,3855.0,3924.0,3958.0,Balance Sheet
Total Long Term Debt,,,,,172.0,155.0,207.0,237.0,Balance Sheet
Total Debt,,,,,302.0,186.0,239.0,274.0,Balance Sheet
Deferred Income Tax,,,,,67.0,51.0,100.0,7.0,Balance Sheet
Reserves,,,,,185.0,240.0,7.0,7.0,Balance Sheet
Other LT Liabilities,,,,,32.0,88.0,87.0,85.0,Balance Sheet
"Other Liabilities, Total",,,,,217.0,328.0,94.0,93.0,Balance Sheet
Total Liabilities,,,,,3937.0,4389.0,4325.0,4294.0,Balance Sheet
Common Stock,,,,,246.0,247.0,249.0,249.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,11651.0,15668.0,16588.0,18128.0,Balance Sheet
Treasury Stock - Common,,,,,-4.0,-4.0,-6.0,-10.0,Balance Sheet
Total Equity,,,,,11894.0,15911.0,16831.0,18366.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,15831.0,20300.0,21155.0,22661.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,243.0,243.0,243.0,243.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,5533.0,6375.0,3197.0,3461.0,Income Statement
"Cost of Revenue, Total",,,,,583.0,1294.0,765.0,753.0,Income Statement
Selling/Gen/Admin Expense,,,,,103.0,103.0,143.0,146.0,Income Statement
Labor & Related Expense,,,,,43.0,2.0,4.0,8.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,146.0,105.0,148.0,154.0,Income Statement
