,BNTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.65,,Valuation,
Price/Sales (TTM),1.95,,Valuation,
Price/Book (MRQ),1.97,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.8170999999999999,,Profitability,
Operating Profit Margin (TTM),0.7568000000000001,,Profitability,
Net Profit Margin (TTM),0.556,,Profitability,
EPS Growth (MRQ),0.08220000000000001,,Gowth rates,
EPS Growth (TTM),0.37979999999999997,,Gowth rates,
Revenue Growth (MRQ),0.0828,,Gowth rates,
Revenue Growth (TTM),0.34630000000000005,,Gowth rates,
Return On Equity (TTM),0.7624,,Effectiveness,
Return On Assets (TTM),0.5596,,Effectiveness,
Return On Investment (TTM),0.7364,,Effectiveness,
Revenue Per Employee (TTM),6261561.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.0147,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.004,,Financial strength,
Quick Ratio (MRQ),5.3,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
