,BNTX
% Above Low,0.3226
% Held by Institutions,0.1659
52-Wk Range,['117.08 - 374.58']
Annual Dividend $,
Annual Dividend %,
Ask,156.92
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,154.0
Bid Size,100.0
Closing Price,154.85
Day Change $,-1.38
Day Change %,-0.0088
Day High,157.12
Day Low,154.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",42.42
Ex-dividend Date,No dividend
Historical Volatility,0.7140000000000001
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,37.6B
"P/E Ratio (TTM, GAAP)",3.65
Prev Close,156.23
Short Interest,0.0209
Today's Open,155.21
Volume,348316.0
Volume 10-day Avg,941206.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6810592976396086
Growth 2yr High Est,-0.4229426433915212
Growth 2yr Consensus Est,-0.5520009705155648
Growth 5yr Low Est,-0.6810592976396086
Growth 5yr High Est,-0.4229426433915212
Growth 5yr Consensus Est,-0.5520009705155648
Growth 5yr Actual/Est,167.69115144842434
Growth 3yr Historic,167.87443609022554
Price/Earnings (TTM),3.65028
Price/Sales (TTM),1.94733
Price/Book (MRQ),1.96705
Price/Cash Flow (TTM),3.46209
5yr Low,12.53
5yr High,464.0
5yr Avg Return,0.990125
Short Int Current Month,1877038.0
Short Int Prev Month,2140285.0
Short Int Pct of Float,0.020879500000000002
Days to Cover,1.4826
Float,215.1131
Shares Outstanding,242.6854
Institutions Holding Shares,455.0
FCF Growth 5yr,1.9943339556994888
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",3.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8170999999999999
Operating Profit Margin (TTM),0.7568000000000001
Net Profit Margin (TTM),0.556
EPS Growth (MRQ),0.08220000000000001
EPS Growth (TTM),0.37979999999999997
Revenue Growth (MRQ),0.0828
Revenue Growth (TTM),0.34630000000000005
Return On Equity (TTM),0.7624
Return On Assets (TTM),0.5596
Return On Investment (TTM),0.7364
Revenue Per Employee (TTM),6261561.0
Total Debt/Total Capital (MRQ),0.0147
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),5.3
Interest Coverage (MRQ),
newConstructs,rating-box
theStreet,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-05-05 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
