,ULTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.01,19.03,Valuation,1.1040462427745665
Price/Sales (TTM),2.45,1.93,Valuation,1.2694300518134716
Price/Book (MRQ),13.01,92.12,Valuation,0.14122883195831523
"PEG Ratio (TTM, GAAP)",1.98,7.27,Valuation,0.2723521320495186
Gross Profit Margin (TTM),0.3935,0.34390000000000004,Profitability,1.1442279732480372
Operating Profit Margin (TTM),0.1589,0.11789999999999999,Profitability,1.347752332485157
Net Profit Margin (TTM),0.1208,0.0818,Profitability,1.4767726161369195
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.09609999999999999,-0.10800000000000001,Gowth rates,0.8898148148148146
EPS Growth (TTM),0.6406999999999999,0.0262,Gowth rates,24.45419847328244
Revenue Growth (MRQ),-0.020800000000000003,0.0478,Gowth rates,-0.4351464435146444
Revenue Growth (TTM),0.2236,0.0874,Gowth rates,2.5583524027459954
Return On Equity (TTM),0.6203000000000001,5.2054,Effectiveness,0.11916471356668076
Return On Assets (TTM),0.2286,0.1562,Effectiveness,1.4635083226632521
Return On Investment (TTM),0.3226,0.26,Effectiveness,1.2407692307692306
Revenue Per Employee (TTM),567768.0,410011.0,Effectiveness,1.3847628478260339
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.52,0.39,Financial strength,1.3333333333333333
Interest Coverage (MRQ),,13.36,Financial strength,
