,ULTA
% Below High,0.009399999999999999
% Held by Institutions,0.9328
52-Wk Range,['330.80 - 461.57']
Annual Dividend $,
Annual Dividend %,
Ask,459.9
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.3
Bid,457.5
Bid Size,200.0
Closing Price,457.24
Day Change $,8.89
Day Change %,0.019799999999999998
Day High,461.57
Day Low,447.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",21.34
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,23.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.01
Prev Close,448.35
Short Interest,0.0319
Today's Open,448.47
Volume,899525.0
Volume 10-day Avg,557023.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.23026706231453997
Growth 1yr High Est,0.2926553672316383
Growth 1yr Consensus Est,0.26146121477308915
Growth 2yr Low Est,0.13081129285529214
Growth 2yr High Est,0.19506020109833666
Growth 2yr Consensus Est,0.1629357469768144
Growth 5yr Low Est,0.1688032974343575
Growth 5yr High Est,0.21536052448931797
Growth 5yr Consensus Est,0.19208191096183774
Growth 5yr Actual/Est,0.6272664748495017
Growth 3yr Historic,0.560477048340663
Price/Earnings (TTM),21.00544
Price/Sales (TTM),2.4514
Price/Book (MRQ),13.00951
Price/Cash Flow (TTM),16.58936
5yr Low,124.05
5yr High,451.48
5yr Avg Return,0.13956666666666664
EPS Growth 5yr,0.2248882
Revenue Growth 5yr,0.1219615
Dividend Growth 5yr,
Short Int Current Month,1610619.0
Short Int Prev Month,1546584.0
Short Int Pct of Float,0.0318892
Days to Cover,2.43729
Float,50.50798
Shares Outstanding,51.2215
Institutions Holding Shares,1273.0
FCF Growth 5yr,0.4908582950082408
"Price/Earnings (TTM, GAAP)",21.01
"PEG Ratio (TTM, GAAP)",1.98
Gross Profit Margin (TTM),0.3935
Operating Profit Margin (TTM),0.1589
Net Profit Margin (TTM),0.1208
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.09609999999999999
EPS Growth (TTM),0.6406999999999999
Revenue Growth (MRQ),-0.020800000000000003
Revenue Growth (TTM),0.2236
Return On Equity (TTM),0.6203000000000001
Return On Assets (TTM),0.2286
Return On Investment (TTM),0.3226
Revenue Per Employee (TTM),567768.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
theStreet since,2020-12-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-07 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
marketEdge since,
