,CYRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),3.96,6.06,Valuation,0.6534653465346535
Price/Book (MRQ),1.7,6.22,Valuation,0.2733118971061093
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.4316,0.5095000000000001,Profitability,0.8471050049067712
Operating Profit Margin (TTM),-1.2041,0.0332,Profitability,-36.26807228915663
Net Profit Margin (TTM),-1.2341,-0.0454,Profitability,27.18281938325991
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.3418,-0.5094,Gowth rates,-0.6709854731056145
EPS Growth (TTM),-2.3506,-0.2377,Gowth rates,9.88893563315103
Revenue Growth (MRQ),-0.0575,0.1691,Gowth rates,-0.34003548196333533
Revenue Growth (TTM),0.08779999999999999,0.1222,Gowth rates,0.718494271685761
Return On Equity (TTM),-0.5023,1.1042,Effectiveness,-0.4548994747328382
Return On Assets (TTM),-0.31,0.0644,Effectiveness,-4.813664596273292
Return On Investment (TTM),-0.32420000000000004,0.0802,Effectiveness,-4.0423940149625945
Revenue Per Employee (TTM),295018.0,335561.0,Effectiveness,0.8791784504158707
Total Debt/Total Capital (MRQ),0.42310000000000003,0.3893,Financial strength,1.086822501926535
Change in Debt/Total Capital Quarter over Quarter,0.0179,0.0252,Financial strength,0.7103174603174602
Quick Ratio (MRQ),14.35,1.51,Financial strength,9.503311258278146
Interest Coverage (MRQ),,33.07,Financial strength,
