,CYRX
% Above Low,0.1938
% Held by Institutions,0.9406
52-Wk Range,['15.79 - 70.90']
Annual Dividend $,
Annual Dividend %,
Ask,23.08
Ask Size,200.0
B/A Ratio,5.5
B/A Size,1100x200
Beta,1.2
Bid,15.97
Bid Size,1100.0
Closing Price,18.85
Day Change $,-0.12
Day Change %,-0.0063
Day High,19.11
Day Low,18.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.14
Ex-dividend Date,No dividend
Historical Volatility,0.8570000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,923.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.97
Short Interest,0.0646
Today's Open,18.84
Volume,135397.0
Volume 10-day Avg,524171.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.021052631578947323
Growth 2yr High Est,-1.4303797468354431
Growth 2yr Consensus Est,-0.7257161892071953
Growth 5yr Low Est,-0.021052631578947323
Growth 5yr High Est,-1.4303797468354431
Growth 5yr Consensus Est,-0.7257161892071953
Growth 5yr Actual/Est,0.8599558332907138
Growth 3yr Historic,1.1782099343955013
Price/Earnings (TTM),
Price/Sales (TTM),3.95805
Price/Book (MRQ),1.69679
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,86.3
5yr Avg Return,0.3710666666666666
Short Int Current Month,3104388.0
Short Int Prev Month,3872722.0
Short Int Pct of Float,0.0645612
Days to Cover,3.05217
Float,48.07974
Shares Outstanding,48.99984
Institutions Holding Shares,266.0
FCF Growth 5yr,0.8700980392156863
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4316
Operating Profit Margin (TTM),-1.2041
Net Profit Margin (TTM),-1.2341
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3418
EPS Growth (TTM),-2.3506
Revenue Growth (MRQ),-0.0575
Revenue Growth (TTM),0.08779999999999999
Return On Equity (TTM),-0.5023
Return On Assets (TTM),-0.31
Return On Investment (TTM),-0.32420000000000004
Revenue Per Employee (TTM),295018.0
Total Debt/Total Capital (MRQ),0.42310000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0179
Quick Ratio (MRQ),14.35
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-01-31 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2022-01-31 00:00:00
newConstructs since,
marketEdge opinion since,
