,GS
% Below High,0.057699999999999994
% Held by Institutions,0.6786
52-Wk Range,['277.84 - 412.66']
Annual Dividend $,10.0
Annual Dividend %,0.025699999999999997
Ask,389.49
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.4
Bid,388.62
Bid Size,400.0
Closing Price,388.86
Day Change $,2.61
Day Change %,0.0068000000000000005
Day High,389.44
Day Low,385.18
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",37.54
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.299
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,131.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.36
Prev Close,386.25
Short Interest,0.021099999999999997
Today's Open,385.76
Volume,1129250.0
Volume 10-day Avg,2443759.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.4078393881453155
Growth 1yr High Est,-0.43492876580758766
Growth 1yr Consensus Est,-0.4213840769764516
Growth 2yr Low Est,-0.22474630046594157
Growth 2yr High Est,-0.11406494947603169
Growth 2yr Consensus Est,-0.16940562497098663
Growth 5yr Low Est,0.27202762608920295
Growth 5yr High Est,0.3502697138141726
Growth 5yr Consensus Est,0.3111486699516878
Growth 5yr Actual/Est,0.31250018240738775
Growth 3yr Historic,0.3948514383155911
Price/Earnings (TTM),10.35739
Price/Sales (TTM),2.13647
Price/Book (MRQ),1.21436
Price/Cash Flow (TTM),8.43895
5yr Low,130.85
5yr High,426.16
5yr Avg Return,0.11288333333333334
EPS Growth 5yr,0.2955385
Revenue Growth 5yr,0.11311009999999999
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,7100483.0
Short Int Prev Month,5711910.0
Short Int Pct of Float,0.02109
Days to Cover,2.34507
Float,336.7499
Shares Outstanding,338.6346
Institutions Holding Shares,2226.0
FCF Growth 5yr,1.4493635070956081
"Price/Earnings (TTM, GAAP)",10.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7194
Operating Profit Margin (TTM),0.2755
Net Profit Margin (TTM),0.225
Annual Dividend Yield,0.0257
Dividend Change %,0.3
"Dividend Growth Rate, 3 Years",0.2731
EPS Growth (MRQ),0.067
EPS Growth (TTM),-0.38070000000000004
Revenue Growth (MRQ),0.23370000000000002
Revenue Growth (TTM),-0.0435
Return On Equity (TTM),0.1307
Return On Assets (TTM),0.0092
Return On Investment (TTM),0.0239
Revenue Per Employee (TTM),1403986.0
Total Debt/Total Capital (MRQ),0.8829000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-10-15 00:00:00
researchTeam since,2022-02-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-06 00:00:00
ford since,2022-02-04 00:00:00
marketEdge opinion since,
