,STRL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.93,,Valuation,
Price/Sales (TTM),,,Valuation,
Price/Book (MRQ),,,Valuation,
"PEG Ratio (TTM, GAAP)",0.71,,Valuation,
Gross Profit Margin (TTM),0.0432,,Profitability,
Operating Profit Margin (TTM),0.0655,,Profitability,
Net Profit Margin (TTM),0.041299999999999996,,Profitability,
Annual Dividend Yield,,,Dividend,
Dividend Change %,0.127,,Dividend,
"Dividend Growth Rate, 3 Years",0.0315,,Dividend,
EPS Growth (MRQ),0.0989,,Gowth rates,
EPS Growth (TTM),0.5874,,Gowth rates,
Revenue Growth (MRQ),0.233,,Gowth rates,
Revenue Growth (TTM),0.2229,,Gowth rates,
Return On Equity (TTM),0.1057,,Effectiveness,
Return On Assets (TTM),0.0404,,Effectiveness,
Return On Investment (TTM),0.0584,,Effectiveness,
Revenue Per Employee (TTM),447825.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.40990000000000004,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.004,,Financial strength,
Quick Ratio (MRQ),1.07,,Financial strength,
Interest Coverage (MRQ),12.43,,Financial strength,
