,2017,2018,2019,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report,Q2 2021
high,18.9,16.68,17.49,20.82,29.67,33.62,,,,,,
low,16.03,9.71,10.16,6.72,17.44,20.46,,,,,,
change,-0.0644,-0.3319,0.3134,0.305,0.4079,0.2086,,,,,,
Date,,,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,,,,118.0,82.0,80.0,73.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,304.0,315.0,314.0,425.0,Balance Sheet,
Other Receivables,,,,,,,22.0,17.0,19.0,17.0,Balance Sheet,
"Total Receivables, Net",,,,,,,326.0,332.0,334.0,441.0,Balance Sheet,
Restricted Cash - Current,,,,,,,7.0,7.0,7.0,8.0,Balance Sheet,
Other Current Assets,,,,,,,16.0,14.0,15.0,16.0,Balance Sheet,
"Other Curr. Assets, Total",,,,,,,22.0,20.0,22.0,23.0,Balance Sheet,
Total Current Assets,,,,,,,466.0,435.0,436.0,537.0,Balance Sheet,
Buildings,,,,,,,23.0,24.0,24.0,25.0,Balance Sheet,
Land/Improvements,,,,,,,4.0,4.0,4.0,4.0,Balance Sheet,
Machinery/Equipment,,,,,,,256.0,316.0,332.0,343.0,Balance Sheet,
Other Prop./Plant/Equip.,,,,,,,21.0,28.0,41.0,50.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,304.0,372.0,401.0,422.0,Balance Sheet,
Accumulated Depreciation,,,,,,,-138.0,-143.0,-151.0,-160.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,166.0,229.0,250.0,262.0,Balance Sheet,
"Goodwill, Net",,,,,,,192.0,260.0,252.0,253.0,Balance Sheet,
Intangibles - Gross,,,,,,,265.0,335.0,335.0,336.0,Balance Sheet,
Accum. Intangible Amort.,,,,,,,-29.0,-32.0,-35.0,-39.0,Balance Sheet,
Intangibles - Net,,,,,,,236.0,303.0,300.0,297.0,Balance Sheet,
Other Long Term Assets,,,,,,,4.0,4.0,4.0,5.0,Balance Sheet,
Total Assets,,,,,,,1064.0,1231.0,1243.0,1354.0,Balance Sheet,
Accounts Payable,,,,,,,143.0,145.0,143.0,165.0,Balance Sheet,
Accrued Expenses,,,,,,,43.0,32.0,36.0,46.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,21.0,28.0,30.0,26.0,Balance Sheet,
Customer Advances,,,,,,,141.0,128.0,116.0,162.0,Balance Sheet,
