,STRL
% Below High,0.047599999999999996
% Held by Institutions,
52-Wk Range,['20.46 - 33.62']
Annual Dividend $,
Annual Dividend %,
Ask,32.04
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,32.0
Bid Size,200.0
Day Change $,-0.23
Day Change %,-0.0070999999999999995
Day High,32.6
Day Low,32.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),100.0
Last (time),3:31p ET 11/28/22
Market Cap,971.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,32.25
Price,32.02
Short Interest,
Today's Open,32.22
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.4626168224299063
Growth 1yr High Est,0.45833333333333326
Growth 1yr Consensus Est,0.4604750778816198
Growth 2yr Low Est,0.2552700725568062
Growth 2yr High Est,0.2878968253968254
Growth 2yr Consensus Est,0.2715834489768158
Growth 5yr Low Est,0.2970617688013117
Growth 5yr High Est,0.31719660971253333
Growth 5yr Consensus Est,0.3071291892569225
Growth 5yr Actual/Est,0.40948900249562337
Growth 3yr Historic,0.2922880116959064
5yr Low,6.72
5yr High,33.62
5yr Avg Return,0.13976666666666668
FCF Growth 5yr,-0.06273144728286709
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",41.93
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",0.71
Gross Profit Margin (TTM),0.0432
Operating Profit Margin (TTM),0.0655
Net Profit Margin (TTM),0.041299999999999996
Annual Dividend Yield,
Dividend Change %,0.127
"Dividend Growth Rate, 3 Years",0.0315
EPS Growth (MRQ),0.0989
EPS Growth (TTM),0.5874
Revenue Growth (MRQ),0.233
Revenue Growth (TTM),0.2229
Return On Equity (TTM),0.1057
Return On Assets (TTM),0.0404
Return On Investment (TTM),0.0584
Revenue Per Employee (TTM),447825.0
Total Debt/Total Capital (MRQ),0.40990000000000004
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),12.43
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,
theStreet since,
ford since,
cfra since,
marketEdge opinion since,
