,CRNX
% Above Low,0.13699999999999998
% Held by Institutions,0.983
52-Wk Range,['15.91 - 28.95']
Annual Dividend $,
Annual Dividend %,
Ask,29.16
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,16.9
Bid Size,700.0
Closing Price,18.09
Day Change $,-0.41
Day Change %,-0.0222
Day High,18.68
Day Low,18.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.99
Ex-dividend Date,No dividend
Historical Volatility,0.6950000000000001
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,973.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.5
Short Interest,0.0821
Today's Open,18.47
Volume,101792.0
Volume 10-day Avg,291085.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.12543554006968627
Growth 1yr High Est,-0.019305019305019266
Growth 1yr Consensus Est,0.0530652603823335
Growth 2yr Low Est,0.11689733659831059
Growth 2yr High Est,0.029717569087647888
Growth 2yr Consensus Est,0.07330745284297924
Growth 5yr Low Est,0.11699513036224146
Growth 5yr High Est,0.0756350539827792
Growth 5yr Consensus Est,0.09631509217251033
Growth 5yr Actual/Est,0.1133163487230473
Growth 3yr Historic,0.07872988255763375
Price/Earnings (TTM),
Price/Sales (TTM),190.6446
Price/Book (MRQ),2.76963
Price/Cash Flow (TTM),
5yr Low,10.63
5yr High,42.0
5yr Avg Return,0.12093999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1284977
Dividend Growth 5yr,
Short Int Current Month,3860385.0
Short Int Prev Month,4013761.0
Short Int Pct of Float,0.0820877
Days to Cover,11.98539
Float,47.01509
Shares Outstanding,53.81048
Institutions Holding Shares,184.0
FCF Growth 5yr,0.7260594799394529
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-29.615000000000002
Net Profit Margin (TTM),-29.1248
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0335
EPS Growth (TTM),-0.0758
Revenue Growth (MRQ),0.0433
Revenue Growth (TTM),
Return On Equity (TTM),-0.5495
Return On Assets (TTM),-0.5005
Return On Investment (TTM),-0.5337
Revenue Per Employee (TTM),35706.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-04-24 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
