,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.0,30.61,26.67,28.82,28.95,,,,,
low,19.23,14.33,10.63,13.29,15.91,,,,,
change,0.5579,-0.15810000000000002,-0.43579999999999997,0.9951000000000001,-0.3544,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,200695.0,145548.0,62293.0,30912.0,Balance Sheet
Short Term Investments,,,,,,133012.0,174177.0,346213.0,337450.0,Balance Sheet
Cash and Short Term Invs,,,,,,333707.0,319725.0,408506.0,368362.0,Balance Sheet
"Total Receivables, Net",,,,,,1476.0,1545.0,2111.0,2345.0,Balance Sheet
Prepaid Expenses,,,,,,9537.0,6979.0,5668.0,7616.0,Balance Sheet
Total Current Assets,,,,,,344720.0,328249.0,416285.0,378323.0,Balance Sheet
Buildings,,,,,,3516.0,3516.0,3516.0,3516.0,Balance Sheet
Machinery/Equipment,,,,,,1930.0,2018.0,2712.0,2995.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,2751.0,2656.0,2556.0,2453.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,8197.0,8190.0,8784.0,8964.0,Balance Sheet
Accumulated Depreciation,,,,,,-3480.0,-3721.0,-3935.0,-3806.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,4717.0,4469.0,4849.0,5158.0,Balance Sheet
Long Term Investments,,,,,,1010.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,68.0,68.0,99.0,99.0,Balance Sheet
Total Assets,,,,,,351015.0,333286.0,421733.0,384880.0,Balance Sheet
Accounts Payable,,,,,,,,9039.0,5877.0,Balance Sheet
Payable/Accrued,,,,,,8468.0,12134.0,,,Balance Sheet
Accrued Expenses,,,,,,7527.0,5417.0,14533.0,16359.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,2706.0,2543.0,2320.0,Balance Sheet
Total Current Liabilities,,,,,,15995.0,20257.0,26115.0,24556.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,3076.0,9985.0,9453.0,8952.0,Balance Sheet
Total Liabilities,,,,,,19071.0,30242.0,35568.0,33508.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,607581.0,615118.0,742041.0,750564.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-275255.0,-309882.0,-352257.0,-394182.0,Balance Sheet
"Other Equity, Total",,,,,,-382.0,-2192.0,-3619.0,-5010.0,Balance Sheet
Total Equity,,,,,,331944.0,303044.0,386165.0,351372.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,351015.0,333286.0,421733.0,384880.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,47597.0,47801.0,53720.0,53796.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,1.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,1078.0,3131.0,439.0,458.0,Income Statement
Selling/Gen/Admin Expense,,,,,,5110.0,6142.0,7039.0,8351.0,Income Statement
