,CRNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),190.64,45.03,Valuation,4.233622029757939
Price/Book (MRQ),2.77,12.61,Valuation,0.21966693100713722
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-29.615000000000002,-4.7459,Profitability,6.240123053583093
Net Profit Margin (TTM),-29.1248,-4.5467,Profitability,6.405700837970396
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0335,-0.0014000000000000002,Gowth rates,-23.928571428571427
EPS Growth (TTM),-0.0758,0.027200000000000002,Gowth rates,-2.786764705882353
Revenue Growth (MRQ),0.0433,1.3963999999999999,Gowth rates,0.031008307075336583
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.5495,0.1967,Effectiveness,-2.7935943060498216
Return On Assets (TTM),-0.5005,0.0016,Effectiveness,-312.81249999999994
Return On Investment (TTM),-0.5337,0.0219,Effectiveness,-24.36986301369863
Revenue Per Employee (TTM),35706.0,1476201.0,Effectiveness,0.024187763048527943
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
