,CACI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.99,75.74,Valuation,0.26392923158172693
Price/Sales (TTM),1.16,5.07,Valuation,0.22879684418145954
Price/Book (MRQ),2.31,7.18,Valuation,0.32172701949860727
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.3458,0.49210000000000004,Profitability,0.7027027027027026
Operating Profit Margin (TTM),0.0795,0.10619999999999999,Profitability,0.748587570621469
Net Profit Margin (TTM),0.0582,0.055,Profitability,1.0581818181818181
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.0426,-18.5673,Gowth rates,0.002294356206879837
EPS Growth (TTM),-0.1522,-0.2057,Gowth rates,0.7399124939231891
Revenue Growth (MRQ),-0.0222,0.10880000000000001,Gowth rates,-0.20404411764705882
Revenue Growth (TTM),0.039900000000000005,0.11970000000000001,Gowth rates,0.3333333333333333
Return On Equity (TTM),0.12460000000000002,0.1999,Effectiveness,0.623311655827914
Return On Assets (TTM),0.0579,0.0565,Effectiveness,1.024778761061947
Return On Investment (TTM),0.0675,0.0848,Effectiveness,0.7959905660377359
Revenue Per Employee (TTM),287172.0,417216.0,Effectiveness,0.6883053382420616
Total Debt/Total Capital (MRQ),0.3408,0.4147,Financial strength,0.8217988907644079
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0070999999999999995,Financial strength,-0.1267605633802817
Quick Ratio (MRQ),1.05,0.09,Financial strength,11.666666666666668
Interest Coverage (MRQ),8.2,18.36,Financial strength,0.44662309368191716
