,CACI
% Below High,0.0078000000000000005
% Held by Institutions,0.8828
52-Wk Range,['238.29 - 313.52']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,124.18
Bid Size,
Closing Price,311.08
Day Change $,5.45
Day Change %,0.0178
Day High,311.52
Day Low,307.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.56
Ex-dividend Date,No dividend
Historical Volatility,0.27899999999999997
Last (size),138.0
Last (time),5:00p ET 11/25/22
Market Cap,7.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.99
Prev Close,305.63
Short Interest,0.0139
Today's Open,307.4
Volume,33587.0
Volume 10-day Avg,135752.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.0028248587570622874
Growth 1yr High Est,0.04131769960915688
Growth 1yr Consensus Est,0.022071279183109582
Growth 2yr Low Est,0.023102570223601515
Growth 2yr High Est,0.08768297849090556
Growth 2yr Consensus Est,0.05539277435725354
Growth 5yr Low Est,0.1212722893432206
Growth 5yr High Est,0.15478985969024384
Growth 5yr Consensus Est,0.13803107451673222
Growth 5yr Actual/Est,0.13434430259590643
Growth 3yr Historic,0.10611330672594829
Price/Earnings (TTM),19.98911
Price/Sales (TTM),1.15696
Price/Book (MRQ),2.3142
Price/Cash Flow (TTM),14.47406
5yr Low,127.7
5yr High,313.52
5yr Avg Return,0.18264999999999998
EPS Growth 5yr,0.1886449
Revenue Growth 5yr,0.07331990000000001
Dividend Growth 5yr,
Short Int Current Month,320603.0
Short Int Prev Month,378562.0
Short Int Pct of Float,0.0138676
Days to Cover,2.46771
Float,23.12379
Shares Outstanding,23.49694
Institutions Holding Shares,521.0
FCF Growth 5yr,0.11274207868855202
"Price/Earnings (TTM, GAAP)",19.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3458
Operating Profit Margin (TTM),0.0795
Net Profit Margin (TTM),0.0582
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0426
EPS Growth (TTM),-0.1522
Revenue Growth (MRQ),-0.0222
Revenue Growth (TTM),0.039900000000000005
Return On Equity (TTM),0.12460000000000002
Return On Assets (TTM),0.0579
Return On Investment (TTM),0.0675
Revenue Per Employee (TTM),287172.0
Total Debt/Total Capital (MRQ),0.3408
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),8.2
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-02-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2017-10-22 00:00:00
