,OCGN
% Above Low,0.0203
% Held by Institutions,0.349
52-Wk Range,['1.48 - 7.17']
Annual Dividend $,
Annual Dividend %,
Ask,1.5
Ask Size,1100.0
Ask close,1.52
B/A Ratio,11.363636363636363
B/A Size,12500x1100
Beta,4.0
Bid,1.49
Bid Size,12500.0
Bid close,1.51
Change Since Close,-0.01| |(-0.66%)
Closing Price,1.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,1.031
Last (size),130.0
Last (time),1:00p ET 11/25/22
Last Trade,1.5
Market Cap,330.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.51
Short Interest,0.19269999999999998
Today's Open,
Volume,60101.0
Volume 10-day Avg,4252454.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.11428571428571432
Growth 1yr High Est,0.3076923076923077
Growth 1yr Consensus Est,0.21098901098901102
Growth 2yr Low Est,0.19816849816849813
Growth 2yr High Est,0.03619909502262442
Growth 2yr Consensus Est,0.11718379659556127
Growth 5yr Low Est,0.12285307285307283
Growth 5yr High Est,-0.029630710845132097
Growth 5yr Consensus Est,0.04661118100397036
Growth 5yr Actual/Est,-0.12331096558600799
Growth 3yr Historic,-0.19655657962109577
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.43329
Price/Cash Flow (TTM),
5yr Low,0.17
5yr High,201.0
5yr Avg Return,0.11303333333333329
Short Int Current Month,41525252.0
Short Int Prev Month,43266761.0
Short Int Pct of Float,0.1927231
Days to Cover,7.50814
Float,215.4659
Shares Outstanding,218.8869
Institutions Holding Shares,166.0
FCF Growth 5yr,0.2670358452533312
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.12210000000000001
EPS Growth (TTM),-0.42590000000000006
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.7311
Return On Assets (TTM),-0.6364
Return On Investment (TTM),-0.7000000000000001
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0232
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
