,THRY
% Above Low,0.09519999999999999
% Held by Institutions,0.9976
52-Wk Range,['17.33 - 42.99']
Annual Dividend $,
Annual Dividend %,
Ask,18.99
Ask Size,200.0
Ask close,23.52
B/A Ratio,6.5
B/A Size,1300x200
Beta,
Bid,18.98
Bid Size,1300.0
Bid close,14.84
Change Since Close,0.00| |(0.00%)
Closing Price,18.98
Day Change $,-0.59
Day Change %,-0.0301
Day High,19.54
Day Low,18.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.99
Ex-dividend Date,No dividend
Historical Volatility,0.43
Last (size),8900.0
Last (time),4:00p ET 11/28/22
Last Trade,18.98
Market Cap,654.3M
"P/E Ratio (TTM, GAAP)",6.54
Prev Close,19.57
Short Interest,0.0904
Today's Open,19.4
Volume,170532.0
Volume 10-day Avg,256627.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.055921052631579
Growth 2yr High Est,-0.5299145299145299
Growth 2yr Consensus Est,-0.7929177912730545
Growth 5yr Low Est,-1.055921052631579
Growth 5yr High Est,-0.5299145299145299
Growth 5yr Consensus Est,-0.7929177912730545
Growth 5yr Actual/Est,-0.3432223990121952
Growth 3yr Historic,-0.12368024132730016
Price/Earnings (TTM),6.53678
Price/Sales (TTM),0.5779
Price/Book (MRQ),1.59905
Price/Cash Flow (TTM),3.36275
5yr Low,8.1
5yr High,42.99
5yr Avg Return,0.36261666666666664
Short Int Current Month,2913438.0
Short Int Prev Month,3142547.0
Short Int Pct of Float,0.09044930000000001
Days to Cover,7.1338
Float,32.21074
Shares Outstanding,34.47519
Institutions Holding Shares,218.0
FCF Growth 5yr,0.27935941126385083
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6448
Operating Profit Margin (TTM),0.1468
Net Profit Margin (TTM),0.0941
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7690000000000001
EPS Growth (TTM),-0.5002000000000001
Revenue Growth (MRQ),-0.1597
Revenue Growth (TTM),0.046200000000000005
Return On Equity (TTM),0.3025
Return On Assets (TTM),0.0824
Return On Investment (TTM),0.1072
Revenue Per Employee (TTM),443901.0
Total Debt/Total Capital (MRQ),0.5442
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.49
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-11 00:00:00
theStreet since,2022-03-11 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
