,ATO
% Below High,0.030899999999999997
% Held by Institutions,0.909
52-Wk Range,['88.96 - 122.96']
Annual Dividend $,2.96
Annual Dividend %,0.0248
Ask,124.0
Ask Size,1600.0
B/A Ratio,0.0625
B/A Size,100x1600
Beta,0.6
Bid,118.0
Bid Size,100.0
Closing Price,119.16
Day Change $,1.32
Day Change %,0.011200000000000002
Day High,119.24
Day Low,118.27
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.237
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,16.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.42
Prev Close,117.84
Short Interest,0.0478
Today's Open,118.33
Volume,365895.0
Volume 10-day Avg,917285.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.07608695652173925
Growth 1yr High Est,0.07692307692307687
Growth 1yr Consensus Est,0.07650501672240806
Growth 2yr Low Est,0.07255526277265412
Growth 2yr High Est,0.08663429593662153
Growth 2yr Consensus Est,0.07959477935463782
Growth 5yr Low Est,0.08400147985813072
Growth 5yr High Est,0.08687449777622613
Growth 5yr Consensus Est,0.08543798881717843
Growth 5yr Actual/Est,0.08040093542235216
Growth 3yr Historic,0.0446239406779661
Price/Earnings (TTM),21.42372
Price/Sales (TTM),3.99597
Price/Book (MRQ),1.78247
Price/Cash Flow (TTM),12.81606
5yr Low,76.46
5yr High,122.96
5yr Avg Return,0.05555000000000001
EPS Growth 5yr,0.0923934
Revenue Growth 5yr,0.08770410000000001
Dividend Growth 5yr,0.08607369999999999
Short Int Current Month,6648606.0
Short Int Prev Month,6501943.0
Short Int Pct of Float,0.047754000000000005
Days to Cover,7.71671
Float,139.2445
Shares Outstanding,140.9006
Institutions Holding Shares,878.0
FCF Growth 5yr,0.3909110078706677
"Price/Earnings (TTM, GAAP)",21.42
"PEG Ratio (TTM, GAAP)",2.63
Gross Profit Margin (TTM),0.4305
Operating Profit Margin (TTM),0.21920000000000003
Net Profit Margin (TTM),0.1843
Annual Dividend Yield,0.0248
Dividend Change %,0.08800000000000001
"Dividend Growth Rate, 3 Years",0.0901
EPS Growth (MRQ),-0.4466
EPS Growth (TTM),0.09240000000000001
Revenue Growth (MRQ),-0.1149
Revenue Growth (TTM),0.2331
Return On Equity (TTM),0.0893
Return On Assets (TTM),0.0371
Return On Investment (TTM),0.0446
Revenue Per Employee (TTM),876991.0
Total Debt/Total Capital (MRQ),0.46380000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),3.79
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-05-06 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-12-28 00:00:00
