,WEC
% Below High,0.1001
% Held by Institutions,0.7283
52-Wk Range,['80.82 - 108.39']
Annual Dividend $,2.91
Annual Dividend %,0.029500000000000002
Ask,109.95
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.4
Bid,94.0
Bid Size,400.0
Closing Price,97.54
Day Change $,-1.12
Day Change %,-0.011399999999999999
Day High,98.7
Day Low,97.14
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.23399999999999999
Last (size),470.0
Last (time),7:00p ET 11/28/22
Market Cap,30.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.61
Prev Close,98.66
Short Interest,0.0146
Today's Open,98.19
Volume,979077.0
Volume 10-day Avg,1313129.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.08148148148148149
Growth 1yr High Est,0.07560975609756104
Growth 1yr Consensus Est,0.07854561878952127
Growth 2yr Low Est,0.06014713343480471
Growth 2yr High Est,0.06955090979481227
Growth 2yr Consensus Est,0.06484902161480849
Growth 5yr Low Est,0.06717725823285858
Growth 5yr High Est,0.07363760144378206
Growth 5yr Consensus Est,0.07040742983832032
Growth 5yr Actual/Est,0.06591288656519789
Growth 3yr Historic,0.03577298388879885
Price/Earnings (TTM),22.61376
Price/Sales (TTM),3.36772
Price/Book (MRQ),2.74059
Price/Cash Flow (TTM),12.48226
5yr Low,58.48
5yr High,109.53
5yr Avg Return,0.06609999999999999
EPS Growth 5yr,0.0676777
Revenue Growth 5yr,0.021626199999999998
Dividend Growth 5yr,0.0647823
Short Int Current Month,4591230.0
Short Int Prev Month,4255137.0
Short Int Pct of Float,0.0145748
Days to Cover,2.65652
Float,315.0319
Shares Outstanding,315.4345
Institutions Holding Shares,1277.0
FCF Growth 5yr,-1.5339120411327496
"Price/Earnings (TTM, GAAP)",22.61
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.3411
Operating Profit Margin (TTM),0.1985
Net Profit Margin (TTM),0.1495
Annual Dividend Yield,0.029500000000000002
Dividend Change %,0.07110000000000001
"Dividend Growth Rate, 3 Years",0.0703
EPS Growth (MRQ),0.0504
EPS Growth (TTM),0.049100000000000005
Revenue Growth (MRQ),-0.0587
Revenue Growth (TTM),0.14830000000000002
Return On Equity (TTM),0.12390000000000001
Return On Assets (TTM),0.0349
Return On Investment (TTM),0.0385
Revenue Per Employee (TTM),1331926.0
Total Debt/Total Capital (MRQ),0.5849000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),6.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-03 00:00:00
theStreet since,2022-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-03 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
