,WEC
Price/Earnings (TTM),22.61376
Price/Sales (TTM),3.36772
Price/Book (MRQ),2.74059
Price/Cash Flow (TTM),12.48226
5yr Low,58.48
5yr High,109.53
5yr Avg Return,0.06609999999999999
EPS Growth 5yr,0.0676777
Revenue Growth 5yr,0.021626199999999998
Dividend Growth 5yr,0.0647823
Short Int Current Month,4591230.0
Short Int Prev Month,4255137.0
Short Int Pct of Float,0.0145748
Days to Cover,2.65652
Float,315.0319
Shares Outstanding,315.4345
Institutions Holding Shares,1277.0
% Held by Institutions,0.728282
FCF Growth 5yr,-1.5339120411327496
