,FTCI
% Above Low,0.22469999999999998
% Held by Institutions,0.2842
52-Wk Range,['1.78 - 8.96']
Annual Dividend $,
Annual Dividend %,
Ask,2.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,2.18
Bid Size,100.0
Closing Price,2.18
Day Change $,-0.1
Day Change %,-0.043899999999999995
Day High,2.25
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,1.095
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,225.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.28
Short Interest,0.1436
Today's Open,2.25
Volume,504154.0
Volume 10-day Avg,1260520.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6323529411764706
Growth 2yr High Est,-1.619047619047619
Growth 2yr Consensus Est,-1.1257002801120448
Growth 5yr Low Est,-0.6323529411764706
Growth 5yr High Est,-1.619047619047619
Growth 5yr Consensus Est,-1.1257002801120448
Growth 5yr Actual/Est,-0.46257349615558574
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.13394
Price/Book (MRQ),2.75533
Price/Cash Flow (TTM),
5yr Low,1.78
5yr High,15.46
5yr Avg Return,-0.61065
Short Int Current Month,6379064.0
Short Int Prev Month,5454124.0
Short Int Pct of Float,0.14359059999999998
Days to Cover,4.21752
Float,43.95567
Shares Outstanding,103.2855
Institutions Holding Shares,113.0
FCF Growth 5yr,-0.18743685972599303
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.17070000000000002
Operating Profit Margin (TTM),-0.52
Net Profit Margin (TTM),-0.5186999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0198
EPS Growth (TTM),0.2613
Revenue Growth (MRQ),-0.4606
Revenue Growth (TTM),-0.0677
Return On Equity (TTM),-0.8412000000000001
Return On Assets (TTM),-0.5366
Return On Investment (TTM),-0.8046
Revenue Per Employee (TTM),890435.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.87
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-17 00:00:00
researchTeam since,2022-08-17 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
