,FTCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),1.13,12.92,Valuation,0.08746130030959752
Price/Book (MRQ),2.76,9.0,Valuation,0.30666666666666664
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),-0.17070000000000002,0.2968,Profitability,-0.575134770889488
Operating Profit Margin (TTM),-0.52,-0.5081,Profitability,1.0234205864987207
Net Profit Margin (TTM),-0.5186999999999999,-0.706,Profitability,0.7347025495750708
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),0.0198,0.5871000000000001,Gowth rates,0.03372508942258559
EPS Growth (TTM),0.2613,-1.2397,Gowth rates,-0.21077680083891262
Revenue Growth (MRQ),-0.4606,0.28940000000000005,Gowth rates,-1.5915687629578437
Revenue Growth (TTM),-0.0677,0.22710000000000002,Gowth rates,-0.2981065609863496
Return On Equity (TTM),-0.8412000000000001,0.10210000000000001,Effectiveness,-8.23898139079334
Return On Assets (TTM),-0.5366,0.0479,Effectiveness,-11.20250521920668
Return On Investment (TTM),-0.8046,0.0575,Effectiveness,-13.99304347826087
Revenue Per Employee (TTM),890435.0,348568.0,Effectiveness,2.554551766082945
Total Debt/Total Capital (MRQ),0.0,0.3799,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0017000000000000001,Financial strength,
Quick Ratio (MRQ),1.87,1.37,Financial strength,1.364963503649635
Interest Coverage (MRQ),,9.61,Financial strength,
