,DOV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.76,24.01,Valuation,0.7396917950853811
Price/Sales (TTM),2.46,3.06,Valuation,0.8039215686274509
Price/Book (MRQ),5.03,7.44,Valuation,0.6760752688172043
"PEG Ratio (TTM, GAAP)",1.66,1.49,Valuation,1.1140939597315436
Gross Profit Margin (TTM),0.3618,0.32799999999999996,Profitability,1.103048780487805
Operating Profit Margin (TTM),0.1814,0.0198,Profitability,9.16161616161616
Net Profit Margin (TTM),0.1393,-0.0086,Profitability,-16.197674418604652
Annual Dividend Yield,0.0141,0.0143,Dividend,0.9860139860139859
Dividend Change %,0.0102,0.1666,Dividend,0.06122448979591837
"Dividend Growth Rate, 3 Years",0.015500000000000002,0.0885,Dividend,0.17514124293785313
EPS Growth (MRQ),-0.0027,0.3518,Gowth rates,-0.007674815235929506
EPS Growth (TTM),0.2397,0.16149999999999998,Gowth rates,1.4842105263157896
Revenue Growth (MRQ),-0.0002,0.196,Gowth rates,-0.0010204081632653062
Revenue Growth (TTM),0.0857,0.1475,Gowth rates,0.5810169491525424
Return On Equity (TTM),0.29550000000000004,0.2859,Effectiveness,1.0335781741867789
Return On Assets (TTM),0.1133,0.0851,Effectiveness,1.3313748531139835
Return On Investment (TTM),0.1487,0.12490000000000001,Effectiveness,1.1905524419535627
Revenue Per Employee (TTM),334326.0,343373.0,Effectiveness,0.9736525585878913
Total Debt/Total Capital (MRQ),0.4764,0.6352000000000001,Financial strength,0.7499999999999999
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0189,Financial strength,0.052910052910052914
Quick Ratio (MRQ),0.68,1.07,Financial strength,0.6355140186915887
Interest Coverage (MRQ),13.23,20.9,Financial strength,0.6330143540669857
