,DOV
% Above Low,0.2489
% Held by Institutions,0.8992
52-Wk Range,['114.49 - 184.05']
Annual Dividend $,2.02
Annual Dividend %,0.0141
Ask,225.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,92.0
Bid Size,100.0
Closing Price,142.99
Day Change $,0.23
Day Change %,0.0016
Day High,143.65
Day Low,142.56
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.05
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.28800000000000003
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,20.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.76
Prev Close,142.76
Short Interest,0.013000000000000001
Today's Open,143.16
Volume,237894.0
Volume 10-day Avg,800501.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.12433155080213898
Growth 1yr High Est,0.10588235294117654
Growth 1yr Consensus Est,0.11510695187165776
Growth 2yr Low Est,0.06751654829048681
Growth 2yr High Est,0.09372131831455988
Growth 2yr Consensus Est,0.08061893330252334
Growth 5yr Low Est,0.11079727227495079
Growth 5yr High Est,0.12703765814358906
Growth 5yr Consensus Est,0.11891746520926992
Growth 5yr Actual/Est,0.11592031365670588
Growth 3yr Historic,0.07545853892115836
Price/Earnings (TTM),17.76448
Price/Sales (TTM),2.45582
Price/Book (MRQ),5.02808
Price/Cash Flow (TTM),13.98926
5yr Low,62.95
5yr High,184.05
5yr Avg Return,0.12168333333333337
EPS Growth 5yr,0.1926626
Revenue Growth 5yr,0.0552358
Dividend Growth 5yr,0.0295914
Short Int Current Month,1842859.0
Short Int Prev Month,1461295.0
Short Int Pct of Float,0.0129857
Days to Cover,1.78066
Float,141.9313
Shares Outstanding,143.5493
Institutions Holding Shares,1104.0
FCF Growth 5yr,-1.3106435307755442
"Price/Earnings (TTM, GAAP)",17.76
"PEG Ratio (TTM, GAAP)",1.66
Gross Profit Margin (TTM),0.3618
Operating Profit Margin (TTM),0.1814
Net Profit Margin (TTM),0.1393
Annual Dividend Yield,0.0141
Dividend Change %,0.0102
"Dividend Growth Rate, 3 Years",0.015500000000000002
EPS Growth (MRQ),-0.0027
EPS Growth (TTM),0.2397
Revenue Growth (MRQ),-0.0002
Revenue Growth (TTM),0.0857
Return On Equity (TTM),0.29550000000000004
Return On Assets (TTM),0.1133
Return On Investment (TTM),0.1487
Revenue Per Employee (TTM),334326.0
Total Debt/Total Capital (MRQ),0.4764
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),13.23
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
cfra since,2018-04-28 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2016-05-25 00:00:00
