,CCRN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.87,29.13,Valuation,0.20151047030552696
Price/Sales (TTM),0.47,1.32,Valuation,0.356060606060606
Price/Book (MRQ),3.05,4.31,Valuation,0.7076566125290024
"PEG Ratio (TTM, GAAP)",0.59,0.26,Valuation,2.269230769230769
Gross Profit Margin (TTM),0.2256,0.1318,Profitability,1.7116843702579665
Operating Profit Margin (TTM),0.10490000000000001,0.0458,Profitability,2.2903930131004366
Net Profit Margin (TTM),0.0806,0.0242,Profitability,3.3305785123966944
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.3376,-0.1478,Gowth rates,2.2841677943166445
EPS Growth (TTM),2.7923000000000004,-1.101,Gowth rates,-2.536148955495005
Revenue Growth (MRQ),-0.1559,0.0931,Gowth rates,-1.674543501611171
Revenue Growth (TTM),1.2524,0.1191,Gowth rates,10.51553316540722
Return On Equity (TTM),0.7107,7.2022,Effectiveness,0.09867818166671294
Return On Assets (TTM),0.324,0.0403,Effectiveness,8.03970223325062
Return On Investment (TTM),0.4631,0.016,Effectiveness,28.94375
Revenue Per Employee (TTM),1252920.0,1375304.0,Effectiveness,0.91101312873372
Total Debt/Total Capital (MRQ),0.2349,0.4855,Financial strength,0.4838311019567456
Change in Debt/Total Capital Quarter over Quarter,-0.0025,0.0015,Financial strength,-1.6666666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),16.87,9.55,Financial strength,1.7664921465968586
