,CCRN
% Below High,0.11960000000000001
% Held by Institutions,0.9761
52-Wk Range,['15.26 - 40.12']
Annual Dividend $,
Annual Dividend %,
Ask,36.29
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,1.0
Bid,35.32
Bid Size,1700.0
Closing Price,35.32
Day Change $,0.11
Day Change %,0.0031
Day High,36.17
Day Low,35.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.02
Ex-dividend Date,No dividend
Historical Volatility,0.657
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.87
Prev Close,35.21
Short Interest,0.09230000000000001
Today's Open,35.43
Volume,214479.0
Volume 10-day Avg,652801.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.386904761904762
Growth 2yr High Est,-0.34774066797642433
Growth 2yr Consensus Est,-0.36732271494059315
Growth 5yr Low Est,-0.386904761904762
Growth 5yr High Est,-0.34774066797642433
Growth 5yr Consensus Est,-0.36732271494059315
Growth 5yr Actual/Est,2.0012236615767995
Growth 3yr Historic,1.9297101449275362
Price/Earnings (TTM),5.87036
Price/Sales (TTM),0.46727
Price/Book (MRQ),3.05047
Price/Cash Flow (TTM),5.50293
5yr Low,4.5
5yr High,40.12
5yr Avg Return,0.3819666666666667
EPS Growth 5yr,0.7424279
Revenue Growth 5yr,0.15001530000000002
Dividend Growth 5yr,
Short Int Current Month,3251807.0
Short Int Prev Month,2927756.0
Short Int Pct of Float,0.0923149
Days to Cover,3.2464
Float,35.26159
Shares Outstanding,37.29547
Institutions Holding Shares,270.0
FCF Growth 5yr,-3.5101452208104997
"Price/Earnings (TTM, GAAP)",5.87
"PEG Ratio (TTM, GAAP)",0.59
Gross Profit Margin (TTM),0.2256
Operating Profit Margin (TTM),0.10490000000000001
Net Profit Margin (TTM),0.0806
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3376
EPS Growth (TTM),2.7923000000000004
Revenue Growth (MRQ),-0.1559
Revenue Growth (TTM),1.2524
Return On Equity (TTM),0.7107
Return On Assets (TTM),0.324
Return On Investment (TTM),0.4631
Revenue Per Employee (TTM),1252920.0
Total Debt/Total Capital (MRQ),0.2349
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),16.87
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-05-07 00:00:00
