,EXPI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.09,-128.31,Valuation,-0.38258904216351025
Price/Sales (TTM),0.38,1.78,Valuation,0.21348314606741572
Price/Book (MRQ),7.13,2.29,Valuation,3.11353711790393
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.07740000000000001,0.2696,Profitability,0.28709198813056386
Operating Profit Margin (TTM),0.0037,-0.2328,Profitability,-0.015893470790378006
Net Profit Margin (TTM),0.008,-0.1213,Profitability,-0.06595218466611706
Annual Dividend Yield,0.0151,0.0044,Dividend,3.4318181818181817
Dividend Change %,,0.0943,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0072,Dividend,
EPS Growth (MRQ),-0.53,1.0171,Gowth rates,-0.5210893717431915
EPS Growth (TTM),-0.4757,0.7006,Gowth rates,-0.6789894376248929
Revenue Growth (MRQ),-0.1244,0.16149999999999998,Gowth rates,-0.7702786377708979
Revenue Growth (TTM),0.4354,0.44439999999999996,Gowth rates,0.9797479747974799
Return On Equity (TTM),0.17170000000000002,0.0932,Effectiveness,1.8422746781115882
Return On Assets (TTM),0.0926,0.0415,Effectiveness,2.2313253012048193
Return On Investment (TTM),0.1691,0.0722,Effectiveness,2.3421052631578947
Revenue Per Employee (TTM),2841064.0,1051798.0,Effectiveness,2.7011498405587386
Total Debt/Total Capital (MRQ),0.0105,0.5311,Financial strength,0.019770288081340615
Change in Debt/Total Capital Quarter over Quarter,-0.0011,-0.0005,Financial strength,2.2
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),0.08,3.44,Financial strength,0.023255813953488372
