,EXPI
% Above Low,0.1424
% Held by Institutions,0.282
52-Wk Range,['10.46 - 38.70']
Annual Dividend $,0.18
Annual Dividend %,0.0151
Ask,12.48
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,2.8
Bid,11.8
Bid Size,1200.0
Closing Price,11.95
Day Change $,0.08
Day Change %,0.0067
Day High,11.98
Day Low,11.56
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.24
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.767
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",49.09
Prev Close,11.87
Short Interest,0.19329999999999997
Today's Open,11.56
Volume,258371.0
Volume 10-day Avg,1143626.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6153846153846152
Growth 2yr High Est,3.0
Growth 2yr Consensus Est,1.8076923076923075
Growth 5yr Low Est,0.6153846153846152
Growth 5yr High Est,3.0
Growth 5yr Consensus Est,1.8076923076923075
Growth 5yr Actual/Est,-0.2668781328320803
Growth 3yr Historic,-0.5714285714285714
Price/Earnings (TTM),49.09412
Price/Sales (TTM),0.38484
Price/Book (MRQ),7.13104
Price/Cash Flow (TTM),38.84846
5yr Low,3.25
5yr High,90.0
5yr Avg Return,0.7757833333333332
EPS Growth 5yr,
Revenue Growth 5yr,1.341715
Dividend Growth 5yr,
Short Int Current Month,14378211.0
Short Int Prev Month,15969371.0
Short Int Pct of Float,0.1932528
Days to Cover,9.44005
Float,74.45667
Shares Outstanding,152.7021
Institutions Holding Shares,269.0
FCF Growth 5yr,0.020716552015862682
"Price/Earnings (TTM, GAAP)",49.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.07740000000000001
Operating Profit Margin (TTM),0.0037
Net Profit Margin (TTM),0.008
Annual Dividend Yield,0.0151
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.53
EPS Growth (TTM),-0.4757
Revenue Growth (MRQ),-0.1244
Revenue Growth (TTM),0.4354
Return On Equity (TTM),0.17170000000000002
Return On Assets (TTM),0.0926
Return On Investment (TTM),0.1691
Revenue Per Employee (TTM),2841064.0
Total Debt/Total Capital (MRQ),0.0105
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.08
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-11-22 00:00:00
researchTeam since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
