,TRGP
% Below High,0.113
% Held by Institutions,0.8951
52-Wk Range,['47.57 - 81.50']
Annual Dividend $,1.4
Annual Dividend %,0.0191
Ask,75.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,70.85
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,72.29
Day Change $,-1.02
Day Change %,-0.0139
Day High,73.15
Day Low,70.89
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",1.04
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.41200000000000003
Last (size),5.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,16.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",70.75
Prev Close,73.31
Short Interest,0.0262
Today's Open,71.37
Volume,1063982.0
Volume 10-day Avg,1313035.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.5103448275862068
Growth 1yr High Est,1.7292576419213974
Growth 1yr Consensus Est,1.119801234753802
Growth 2yr Low Est,0.5748071169894504
Growth 2yr High Est,0.9382288209606987
Growth 2yr Consensus Est,0.7565179689750745
Growth 5yr Low Est,-0.010244674909188975
Growth 5yr High Est,0.17614444193732495
Growth 5yr Consensus Est,0.082949883514068
Growth 5yr Actual/Est,1.0635900830178353
Growth 3yr Historic,0.6873364881502002
Price/Earnings (TTM),70.74889
Price/Sales (TTM),0.76069
Price/Book (MRQ),6.95616
Price/Cash Flow (TTM),10.34057
5yr Low,3.66
5yr High,81.5
5yr Avg Return,0.17325
EPS Growth 5yr,
Revenue Growth 5yr,0.2043037
Dividend Growth 5yr,-0.35702849999999997
Short Int Current Month,5833114.0
Short Int Prev Month,5660799.0
Short Int Pct of Float,0.026193
Days to Cover,3.39351
Float,222.9323
Shares Outstanding,226.3754
Institutions Holding Shares,684.0
FCF Growth 5yr,0.04700242108114409
"Price/Earnings (TTM, GAAP)",70.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1691
Operating Profit Margin (TTM),0.0675
Net Profit Margin (TTM),0.0406
Annual Dividend Yield,0.0191
Dividend Change %,-0.6694
"Dividend Growth Rate, 3 Years",-0.521
EPS Growth (MRQ),-0.47869999999999996
EPS Growth (TTM),-0.12119999999999999
Revenue Growth (MRQ),-0.1149
Revenue Growth (TTM),0.5494
Return On Equity (TTM),0.1066
Return On Assets (TTM),0.0501
Return On Investment (TTM),0.0753
Revenue Per Employee (TTM),8978025.0
Total Debt/Total Capital (MRQ),0.706
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),3.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-10-31 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-09-15 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
