,ZWS
% Above Low,0.1131
% Held by Institutions,0.7604000000000001
52-Wk Range,['21.39 - 37.77']
Annual Dividend $,0.28
Annual Dividend %,0.0113
Ask,37.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,23.02
Bid Size,500.0
Closing Price,23.81
Day Change $,-1.06
Day Change %,-0.0426
Day High,25.05
Day Low,23.68
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.43
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.423
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",58.18
Prev Close,24.87
Short Interest,0.023799999999999998
Today's Open,24.79
Volume,904832.0
Volume 10-day Avg,1048247.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.5208333333333333
Growth 1yr High Est,-0.5024630541871921
Growth 1yr Consensus Est,-0.5116481937602626
Growth 2yr Low Est,-0.33650362318840576
Growth 2yr High Est,-0.2314295468955762
Growth 2yr Consensus Est,-0.283966585041991
Growth 5yr Low Est,-0.14079516419535898
Growth 5yr High Est,-0.09432439911623733
Growth 5yr Consensus Est,-0.11755978165579814
Growth 5yr Actual/Est,-0.06187439550979004
Growth 3yr Historic,-0.13260723409977146
Price/Earnings (TTM),58.17544
Price/Sales (TTM),3.76704
Price/Book (MRQ),2.7313
Price/Cash Flow (TTM),49.85064
5yr Low,18.87
5yr High,65.68
5yr Avg Return,0.023633333333333312
Short Int Current Month,4104349.0
Short Int Prev Month,5191703.0
Short Int Pct of Float,0.0237854
Days to Cover,2.60056
Float,173.4612
Shares Outstanding,177.7946
Institutions Holding Shares,311.0
FCF Growth 5yr,-1.2033353360748467
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",55.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.376
Operating Profit Margin (TTM),0.06820000000000001
Net Profit Margin (TTM),0.042300000000000004
Annual Dividend Yield,0.0118
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.3853
EPS Growth (TTM),345.75800000000004
Revenue Growth (MRQ),0.4697
Revenue Growth (TTM),2.9310000000000005
Return On Equity (TTM),0.030699999999999998
Return On Assets (TTM),0.015
Return On Investment (TTM),0.017
Revenue Per Employee (TTM),902923.0
Total Debt/Total Capital (MRQ),0.24910000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0043
Quick Ratio (MRQ),1.22
Interest Coverage (MRQ),2.03
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-07-23 00:00:00
theStreet since,2021-05-20 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
