,ZWS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",55.7,13.91,Valuation,4.00431344356578
Price/Sales (TTM),3.61,1.88,Valuation,1.9202127659574468
Price/Book (MRQ),2.61,3.87,Valuation,0.6744186046511628
"PEG Ratio (TTM, GAAP)",,0.02,Valuation,
Gross Profit Margin (TTM),0.376,0.31260000000000004,Profitability,1.202815099168266
Operating Profit Margin (TTM),0.06820000000000001,0.1429,Profitability,0.47725682295311417
Net Profit Margin (TTM),0.042300000000000004,0.1072,Profitability,0.394589552238806
Annual Dividend Yield,0.0118,0.0134,Dividend,0.8805970149253731
Dividend Change %,,0.2683,Dividend,
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),-1.3853,0.5653,Gowth rates,-2.4505572262515476
EPS Growth (TTM),345.75800000000004,7.5147,Gowth rates,46.01088533141709
Revenue Growth (MRQ),0.4697,0.1259,Gowth rates,3.730738681493248
Revenue Growth (TTM),2.9310000000000005,0.20510000000000003,Gowth rates,14.290589956118966
Return On Equity (TTM),0.030699999999999998,0.254,Effectiveness,0.12086614173228345
Return On Assets (TTM),0.015,0.0326,Effectiveness,0.4601226993865031
Return On Investment (TTM),0.017,0.1543,Effectiveness,0.11017498379779651
Revenue Per Employee (TTM),902923.0,403228.0,Effectiveness,2.2392368585514895
Total Debt/Total Capital (MRQ),0.24910000000000002,0.4794,Financial strength,0.5196078431372549
Change in Debt/Total Capital Quarter over Quarter,-0.0043,0.0029,Financial strength,-1.4827586206896552
Quick Ratio (MRQ),1.22,1.11,Financial strength,1.099099099099099
Interest Coverage (MRQ),2.03,10.87,Financial strength,0.18675252989880403
