,PWSC,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.2992,0.5721,Valuation,0.522985492046845
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.001,Valuation,-0.1
Quick Ratio (MRQ),,0.56,Valuation,
Interest Coverage (MRQ),1.1,2.57,Valuation,0.42801556420233466
Gross Profit Margin (TTM),0.5589000000000001,0.30350000000000005,Profitability,1.8415156507413508
Operating Profit Margin (TTM),-0.0182,0.047,Profitability,-0.3872340425531915
Net Profit Margin (TTM),-0.06559999999999999,0.024900000000000002,Profitability,-2.634538152610441
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),0.4434,-8.9082,Gowth rates,-0.0497743651916212
EPS Growth (TTM),-1.2725,1.3234000000000001,Gowth rates,-0.9615384615384615
Revenue Growth (MRQ),0.030699999999999998,0.0315,Gowth rates,0.9746031746031746
Revenue Growth (TTM),0.1648,0.1202,Gowth rates,1.3710482529118135
Return On Equity (TTM),-0.025400000000000002,0.0073,Effectiveness,-3.4794520547945207
Return On Assets (TTM),-0.011200000000000002,-0.0022,Effectiveness,5.090909090909092
Return On Investment (TTM),-0.015,0.005699999999999999,Effectiveness,-2.6315789473684212
Revenue Per Employee (TTM),198681.0,227358.0,Effectiveness,0.8738685245295965
Total Debt/Total Capital (MRQ),0.2992,0.5721,Financial strength,0.522985492046845
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.001,Financial strength,-0.1
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),1.1,2.57,Financial strength,0.42801556420233466
