,PWSC
% Below High,0.0987
% Held by Institutions,0.7898000000000001
52-Wk Range,['10.60 - 21.99']
Annual Dividend $,
Annual Dividend %,
Ask,19.87
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,19.82
Bid Size,200.0
Day Change $,-0.59
Day Change %,-0.028900000000000002
Day High,20.49
Day Low,19.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,0.598
Last (size),100.0
Last (time),11:56a ET 11/28/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.41
Price,19.82
Short Interest,0.0253
Today's Open,20.19
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.05263157894736836
Growth 2yr High Est,0.1358024691358024
Growth 2yr Consensus Est,0.09421702404158538
Growth 5yr Low Est,0.05263157894736836
Growth 5yr High Est,0.1358024691358024
Growth 5yr Consensus Est,0.09421702404158538
Growth 5yr Actual/Est,0.17032967032967028
Growth 3yr Historic,0.0
Total Debt/Total Capital (MRQ),0.2992
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.1
Gross Profit Margin (TTM),0.5589000000000001
Operating Profit Margin (TTM),-0.0182
Net Profit Margin (TTM),-0.06559999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4434
EPS Growth (TTM),-1.2725
Revenue Growth (MRQ),0.030699999999999998
Revenue Growth (TTM),0.1648
Return On Equity (TTM),-0.025400000000000002
Return On Assets (TTM),-0.011200000000000002
Return On Investment (TTM),-0.015
Revenue Per Employee (TTM),198681.0
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-30 00:00:00
theStreet since,2022-08-30 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
