,CTSH
% Above Low,0.1868
% Held by Institutions,0.9145
52-Wk Range,['51.33 - 93.47']
Annual Dividend $,1.08
Annual Dividend %,0.0177
Ask,61.25
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,60.95
Bid Size,300.0
Closing Price,60.92
Day Change $,0.89
Day Change %,0.0148
Day High,61.28
Day Low,60.13
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",4.49
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.349
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,31.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.56
Prev Close,60.03
Short Interest,0.0126
Today's Open,60.18
Volume,1607368.0
Volume 10-day Avg,4207253.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.027227722772277252
Growth 1yr High Est,0.1073170731707318
Growth 1yr Consensus Est,0.06727239797150453
Growth 2yr Low Est,0.054577716807825305
Growth 2yr High Est,0.09220479209197374
Growth 2yr Consensus Est,0.07339125444989952
Growth 5yr Low Est,0.0329850609355582
Growth 5yr High Est,0.0536400844881979
Growth 5yr Consensus Est,0.04331257271187805
Growth 5yr Actual/Est,0.050638546422910186
Growth 3yr Historic,0.015455304928989139
Price/Earnings (TTM),13.56412
Price/Sales (TTM),1.61665
Price/Book (MRQ),2.61857
Price/Cash Flow (TTM),10.75141
5yr Low,40.01
5yr High,93.47
5yr Avg Return,-0.008633333333333333
EPS Growth 5yr,0.09714969999999999
Revenue Growth 5yr,0.0653299
Dividend Growth 5yr,
Short Int Current Month,6472602.0
Short Int Prev Month,7803407.0
Short Int Pct of Float,0.012621
Days to Cover,1.32065
Float,512.9281
Shares Outstanding,513.9214
Institutions Holding Shares,1294.0
FCF Growth 5yr,1.0372433853682672
"Price/Earnings (TTM, GAAP)",13.56
"PEG Ratio (TTM, GAAP)",2.49
Gross Profit Margin (TTM),0.36350000000000005
Operating Profit Margin (TTM),0.15560000000000002
Net Profit Margin (TTM),0.1208
Annual Dividend Yield,0.0177
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),0.0984
EPS Growth (TTM),0.26670000000000005
Revenue Growth (MRQ),-0.01
Revenue Growth (TTM),0.08109999999999999
Return On Equity (TTM),0.1995
Return On Assets (TTM),0.1353
Return On Investment (TTM),0.16690000000000002
Revenue Per Employee (TTM),58578.0
Total Debt/Total Capital (MRQ),0.050499999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-30 00:00:00
cfra since,2021-02-05 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-30 00:00:00
