,VSTO
Price/Earnings (TTM),3.54517
Price/Sales (TTM),0.48506
Price/Book (MRQ),0.99581
Price/Cash Flow (TTM),2.90417
5yr Low,4.29
5yr High,52.69
5yr Avg Return,0.34818333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0363454
Dividend Growth 5yr,
Short Int Current Month,4808544.0
Short Int Prev Month,5754484.0
Short Int Pct of Float,0.0871844
Days to Cover,4.67291
Float,55.45845
Shares Outstanding,56.57311
Institutions Holding Shares,355.0
% Held by Institutions,0.840237
FCF Growth 5yr,0.17988134775843712
