,2017,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,15.6,20.04,12.29,26.98,48.75,52.69,,,,,
low,13.95,9.83,4.3,4.29,23.26,23.55,,,,,
change,0.013200000000000002,-0.2258,-0.33390000000000003,2.1429,0.8998,-0.4071,,,,,
Date,,,,,,,2021-12-26 00:00:00,2022-03-31 00:00:00,2022-06-26 00:00:00,2022-09-25 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,40.0,23.0,37.0,66.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,392.0,358.0,437.0,441.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-15.0,-15.0,-19.0,-19.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,376.0,343.0,418.0,422.0,Balance Sheet
Other Receivables,,,,,,,49.0,57.0,18.0,58.0,Balance Sheet
"Total Receivables, Net",,,,,,,425.0,400.0,436.0,481.0,Balance Sheet
Invent. - Finished Goods,,,,,,,358.0,362.0,364.0,465.0,Balance Sheet
Invent. - Work In Progress,,,,,,,60.0,60.0,65.0,67.0,Balance Sheet
Invent. - Raw Materials,,,,,,,181.0,220.0,233.0,246.0,Balance Sheet
Total Inventory,,,,,,,599.0,643.0,662.0,778.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,39.0,45.0,48.0,67.0,Balance Sheet
Total Current Assets,,,,,,,1102.0,1111.0,1183.0,1392.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,286.0,289.0,280.0,334.0,Balance Sheet
"Goodwill, Net",,,,,,,467.0,482.0,482.0,805.0,Balance Sheet
Intangibles - Gross,,,,,,,603.0,615.0,614.0,972.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-146.0,-155.0,-163.0,-173.0,Balance Sheet
Intangibles - Net,,,,,,,456.0,460.0,452.0,798.0,Balance Sheet
Deferred Charges,,,,,,,51.0,54.0,60.0,69.0,Balance Sheet
Total Assets,,,,,,,2362.0,2396.0,2457.0,3398.0,Balance Sheet
Accounts Payable,,,,,,,175.0,147.0,180.0,179.0,Balance Sheet
Accrued Expenses,,,,,,,243.0,247.0,240.0,293.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,,,,140.0,Balance Sheet
Total Current Liabilities,,,,,,,417.0,394.0,420.0,611.0,Balance Sheet
Total Long Term Debt,,,,,,,716.0,666.0,586.0,1167.0,Balance Sheet
Total Debt,,,,,,,716.0,666.0,586.0,1307.0,Balance Sheet
Deferred Income Tax,,,,,,,11.0,29.0,29.0,89.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,28.0,23.0,22.0,22.0,Balance Sheet
Other LT Liabilities,,,,,,,158.0,160.0,150.0,159.0,Balance Sheet
