,VSTO
% Above Low,0.16390000000000002
% Held by Institutions,0.8402
52-Wk Range,['23.55 - 52.69']
Annual Dividend $,
Annual Dividend %,
Ask,29.5
Ask Size,300.0
B/A Ratio,2.6666666666666665
B/A Size,800x300
Beta,0.8
Bid,25.32
Bid Size,800.0
Closing Price,27.41
Day Change $,0.08
Day Change %,0.0029
Day High,27.54
Day Low,27.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.71
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),917.0
Last (time),7:00p ET 11/28/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.55
Prev Close,27.33
Short Interest,0.0872
Today's Open,27.12
Volume,432363.0
Volume 10-day Avg,561943.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.25810473815461343
Growth 1yr High Est,-0.20736196319018407
Growth 1yr Consensus Est,-0.23273335067239875
Growth 2yr Low Est,-0.28031287327898735
Growth 2yr High Est,-0.05878934072821901
Growth 2yr Consensus Est,-0.16955110700360318
Growth 5yr Low Est,-0.28031287327898735
Growth 5yr High Est,-0.05878934072821901
Growth 5yr Consensus Est,-0.16955110700360318
Growth 5yr Actual/Est,3.789929377606286
Growth 3yr Historic,3.8787568306010933
Price/Earnings (TTM),3.54517
Price/Sales (TTM),0.48506
Price/Book (MRQ),0.99581
Price/Cash Flow (TTM),2.90417
5yr Low,4.29
5yr High,52.69
5yr Avg Return,0.34818333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0363454
Dividend Growth 5yr,
Short Int Current Month,4808544.0
Short Int Prev Month,5754484.0
Short Int Pct of Float,0.0871844
Days to Cover,4.67291
Float,55.45845
Shares Outstanding,56.57311
Institutions Holding Shares,355.0
FCF Growth 5yr,0.17988134775843712
"Price/Earnings (TTM, GAAP)",3.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.353
Operating Profit Margin (TTM),0.1931
Net Profit Margin (TTM),0.1413
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2511
EPS Growth (TTM),0.1889
Revenue Growth (MRQ),-0.026099999999999998
Revenue Growth (TTM),0.22010000000000002
Return On Equity (TTM),0.3943
Return On Assets (TTM),0.1663
Return On Investment (TTM),0.2043
Revenue Per Employee (TTM),461962.0
Total Debt/Total Capital (MRQ),0.49210000000000004
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),67.11
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-02-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
