,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,30.41,30.3,,,,,
low,22.84,3.8,,,,,
change,0.16519999999999999,-0.8155,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,186.0,143.0,198.0,249.0,Balance Sheet
"Trade Accts Recvble, Gross",,,49.0,84.0,99.0,108.0,Balance Sheet
Prov. for Doubtful Accts,,,-8.0,-15.0,-17.0,-15.0,Balance Sheet
"Total Receivables, Net",,,41.0,69.0,81.0,93.0,Balance Sheet
Invent. - Finished Goods,,,78.0,90.0,109.0,114.0,Balance Sheet
Invent. - Raw Materials,,,21.0,27.0,31.0,37.0,Balance Sheet
Total Inventory,,,98.0,117.0,140.0,151.0,Balance Sheet
"Other Curr. Assets, Total",,,10.0,8.0,6.0,3.0,Balance Sheet
Total Current Assets,,,335.0,338.0,425.0,497.0,Balance Sheet
Prop./Plant/Equip. - Net,,,1.0,1.0,1.0,1.0,Balance Sheet
"Goodwill, Gross",,,168.0,168.0,168.0,168.0,Balance Sheet
Accum. Goodwill Amort.,,,,0.0,0.0,0.0,Balance Sheet
"Goodwill, Net",,,168.0,168.0,168.0,168.0,Balance Sheet
Intangibles - Gross,,,1142.0,1142.0,1143.0,1144.0,Balance Sheet
Accum. Intangible Amort.,,,-99.0,-111.0,-124.0,-136.0,Balance Sheet
Intangibles - Net,,,1043.0,1031.0,1019.0,1007.0,Balance Sheet
Long Term Investments,,,5.0,6.0,6.0,10.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,8.0,10.0,12.0,13.0,Balance Sheet
Total Assets,,,1560.0,1555.0,1632.0,1697.0,Balance Sheet
Accounts Payable,,,19.0,29.0,21.0,23.0,Balance Sheet
Accrued Expenses,,,24.0,37.0,32.0,37.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,20.0,7.0,7.0,7.0,Balance Sheet
Customer Advances,,,5.0,5.0,7.0,5.0,Balance Sheet
Other Current Liabilities,,,4.0,4.0,21.0,17.0,Balance Sheet
"Other Curr. Lblts, Total",,,9.0,9.0,27.0,21.0,Balance Sheet
Total Current Liabilities,,,73.0,82.0,87.0,89.0,Balance Sheet
Total Long Term Debt,,,738.0,658.0,657.0,656.0,Balance Sheet
Total Debt,,,758.0,665.0,664.0,662.0,Balance Sheet
"Other Liabilities, Total",,,225.0,225.0,208.0,209.0,Balance Sheet
Total Liabilities,,,1036.0,966.0,952.0,953.0,Balance Sheet
Common Stock,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,303.0,306.0,308.0,310.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,221.0,283.0,370.0,431.0,Balance Sheet
"Other Equity, Total",,,,,,2.0,Balance Sheet
Total Equity,,,524.0,589.0,679.0,744.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1560.0,1555.0,1632.0,1697.0,Balance Sheet
Ttl Comm. Shares Outs.,,,649.0,649.0,649.0,649.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,166498.0,186196.0,210903.0,176454.0,Income Statement
"Cost of Revenue, Total",,,34285.0,40667.0,54473.0,46626.0,Income Statement
Selling/Gen/Admin Expense,,,22605.0,20618.0,24384.0,28776.0,Income Statement
Labor & Related Expense,,,844.0,1696.0,1727.0,2031.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,23449.0,22314.0,26111.0,30807.0,Income Statement
Depreciation/Amortization,,,10243.0,10266.0,10295.0,10329.0,Income Statement
Litigation,,,0.0,,,,Income Statement
Impair-Assets Held for Sale,,,,4324.0,,,Income Statement
Other Unusual Expnse (In),,,-3509.0,18803.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,-3509.0,23127.0,0.0,0.0,Income Statement
Total Operating Expense,,,64468.0,96374.0,90879.0,87762.0,Income Statement
Total Operating Income,,,102030.0,89822.0,120024.0,88692.0,Income Statement
"Inter Expse,Net Non-Operat",,,-15096.0,-11460.0,-8694.0,-10499.0,Income Statement
OtherNon-OperatInc (Expnse),,,-595.0,-377.0,-1224.0,-2251.0,Income Statement
"Other, Net",,,-595.0,-377.0,-1224.0,-2251.0,Income Statement
Income Before Tax,,,86339.0,77985.0,110106.0,75942.0,Income Statement
Income Tax - Total,,,17028.0,16024.0,22391.0,15179.0,Income Statement
Income After Tax,,,69311.0,61961.0,87715.0,60763.0,Income Statement
Net Inc Before Extra Items,,,69311.0,61961.0,87715.0,60763.0,Income Statement
Total Net Income,,,69311.0,61961.0,87715.0,60763.0,Income Statement
Income Available to Common Excl. Extra. Items,,,69311.0,61961.0,87715.0,60763.0,Income Statement
Income Available to Common Incl. Extra. Items,,,69311.0,61961.0,87715.0,60763.0,Income Statement
Basic/Primary Weighted Average Shares,,,648422.0,648814.0,648974.0,649100.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.11,0.1,0.14,0.09,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.11,0.1,0.14,0.09,Income Statement
Diluted Weighted Average Shares,,,692864.0,693021.0,691365.0,691258.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.1,0.09,0.13,0.09,Income Statement
Diluted EPS Incl. Extra. Items,,,0.1,0.09,0.13,0.09,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,15096.0,11460.0,8694.0,10499.0,Income Statement
"Depreciat/Amort, Suppl",,,75.0,75.0,77.0,81.0,Income Statement
Total Special Items,,,-3509.0,23127.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,82830.0,101112.0,110106.0,75942.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,-692.0,4752.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,16336.0,20776.0,22391.0,15179.0,Income Statement
Normalized Income After Tax,,,66494.0,80336.0,87715.0,60763.0,Income Statement
Normalzd Inc Avail to Common,,,66494.0,80336.0,87715.0,60763.0,Income Statement
Basic Normalized EPS,,,0.1,0.12,0.14,0.09,Income Statement
Diluted Normalized EPS,,,0.1,0.12,0.13,0.09,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,220784.0,61961.0,149676.0,210439.0,Cash Flow
Depreciation/Depletion,,,162.0,75.0,152.0,233.0,Cash Flow
Amortization,,,48779.0,12035.0,24510.0,35981.0,Cash Flow
Deferred Taxes,,,2486.0,-1712.0,-3537.0,-4532.0,Cash Flow
Unusual Items,,,-3615.0,18803.0,18803.0,18803.0,Cash Flow
Other Non-Cash Items,,,6793.0,6166.0,8383.0,14514.0,Cash Flow
Non-Cash Items,,,3178.0,24969.0,27186.0,33317.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,33812.0,12.0,35176.0,54904.0,Cash Flow
"Cash Interest Pd, Suppl",,,58316.0,10597.0,13491.0,21716.0,Cash Flow
Accounts Receivable,,,-26402.0,-28135.0,-40566.0,-52507.0,Cash Flow
Inventories,,,-63724.0,-22899.0,-45657.0,-57132.0,Cash Flow
Other Assets,,,-7199.0,1425.0,3856.0,6344.0,Cash Flow
Accounts Payable,,,2352.0,9838.0,1532.0,3959.0,Cash Flow
Accrued Expenses,,,19613.0,14412.0,10901.0,14283.0,Cash Flow
Changes in Working Capital,,,-75360.0,-25359.0,-69934.0,-93631.0,Cash Flow
Total Cash from Operations,,,200029.0,71969.0,128053.0,181807.0,Cash Flow
Purchase of Fixed Assets,,,-875.0,-68.0,-75.0,-100.0,Cash Flow
Purchase/Acq of Intangibles,,,-890.0,-421.0,-870.0,-1612.0,Cash Flow
Capital Expenditures,,,-1765.0,-489.0,-945.0,-1712.0,Cash Flow
Acquisition of Business,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,,,,0.0,Cash Flow
Purchase of Investments,,,-4500.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-4500.0,,,0.0,Cash Flow
Total Cash from Investing,,,-6265.0,-489.0,-945.0,-1712.0,Cash Flow
Financing Cash Flow Items,,,0.0,-12516.0,-12516.0,-12516.0,Cash Flow
"Common Stock, Net",,,633.0,0.0,0.0,0.0,Cash Flow
Options Exercised,,,1138.0,,740.0,814.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,1771.0,0.0,740.0,814.0,Cash Flow
Short Term Debt Issued,,,0.0,,,,Cash Flow
Short Term Debt Reduction,,,0.0,,,,Cash Flow
