,OLPX
% Above Low,0.4368
% Held by Institutions,1.0181
52-Wk Range,['3.80 - 30.41']
Annual Dividend $,
Annual Dividend %,
Ask,5.69
Ask Size,300.0
Ask close,5.8
B/A Ratio,4.0
B/A Size,1200x300
Beta,
Bid,5.4
Bid Size,1200.0
Bid close,5.12
Change Since Close,-0.0585| |(-1.07%)
Closing Price,5.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,1.082
Last (size),7.0
Last (time),1:00p ET 11/25/22
Last Trade,5.4
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",13.51
Prev Close,5.46
Short Interest,0.1471
Today's Open,
Volume,92.0
Volume 10-day Avg,3384189.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.15151515151515138
Growth 1yr High Est,0.125
Growth 1yr Consensus Est,0.1382575757575757
Growth 2yr Low Est,-0.029505582137161146
Growth 2yr High Est,0.1513888888888889
Growth 2yr Consensus Est,0.06094165337586388
Growth 5yr Low Est,-0.029505582137161146
Growth 5yr High Est,0.1513888888888889
Growth 5yr Consensus Est,0.06094165337586388
Growth 5yr Actual/Est,0.015909090909090817
Growth 3yr Historic,0.0
Price/Earnings (TTM),13.5075
Price/Sales (TTM),4.78958
Price/Book (MRQ),4.76368
Price/Cash Flow (TTM),10.81071
5yr Low,3.8
5yr High,30.41
5yr Avg Return,-0.32515
Short Int Current Month,18246207.0
Short Int Prev Month,22727015.0
Short Int Pct of Float,0.1470873
Days to Cover,3.88728
Float,647.2184
Shares Outstanding,649.1813
Institutions Holding Shares,228.0
FCF Growth 5yr,0.18520901352975883
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",13.51
"PEG Ratio (TTM, GAAP)",0.48
Gross Profit Margin (TTM),0.7621
Operating Profit Margin (TTM),0.5413
Net Profit Margin (TTM),0.378
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3072
EPS Growth (TTM),0.44450000000000006
Revenue Growth (MRQ),-0.16329999999999997
Revenue Growth (TTM),0.40950000000000003
Return On Equity (TTM),0.46740000000000004
Return On Assets (TTM),0.1754
Return On Investment (TTM),0.1843
Revenue Per Employee (TTM),6981613.0
Total Debt/Total Capital (MRQ),0.47100000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),3.91
Interest Coverage (MRQ),8.45
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
