,OLPX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.51,62.45,Valuation,0.21633306645316253
Price/Sales (TTM),4.79,4.04,Valuation,1.1856435643564356
Price/Book (MRQ),4.76,11.21,Valuation,0.4246208742194469
"PEG Ratio (TTM, GAAP)",0.48,2.11,Valuation,0.2274881516587678
Gross Profit Margin (TTM),0.7621,0.7009000000000001,Profitability,1.0873163076045083
Operating Profit Margin (TTM),0.5413,0.1392,Profitability,3.8886494252873565
Net Profit Margin (TTM),0.378,0.0978,Profitability,3.8650306748466257
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.3072,-0.2306,Gowth rates,1.332176929748482
EPS Growth (TTM),0.44450000000000006,-0.2964,Gowth rates,-1.499662618083671
Revenue Growth (MRQ),-0.16329999999999997,-0.0492,Gowth rates,3.31910569105691
Revenue Growth (TTM),0.40950000000000003,0.046200000000000005,Gowth rates,8.863636363636363
Return On Equity (TTM),0.46740000000000004,0.289,Effectiveness,1.617301038062284
Return On Assets (TTM),0.1754,0.0375,Effectiveness,4.677333333333333
Return On Investment (TTM),0.1843,0.1008,Effectiveness,1.8283730158730158
Revenue Per Employee (TTM),6981613.0,706730.0,Effectiveness,9.8787556775572
Total Debt/Total Capital (MRQ),0.47100000000000003,0.49520000000000003,Financial strength,0.9511308562197092
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.0046,Financial strength,-0.5217391304347826
Quick Ratio (MRQ),3.91,1.34,Financial strength,2.917910447761194
Interest Coverage (MRQ),8.45,14.91,Financial strength,0.5667337357478202
