,DPZ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.39,114.03,Valuation,0.27527843549943
Price/Sales (TTM),3.07,5.62,Valuation,0.5462633451957295
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",3.57,0.53,Valuation,6.735849056603773
Gross Profit Margin (TTM),0.3661,0.4054,Profitability,0.9030587074494326
Operating Profit Margin (TTM),0.1653,0.163,Profitability,1.0141104294478527
Net Profit Margin (TTM),0.1002,0.0779,Profitability,1.2862644415917843
Annual Dividend Yield,0.0113,0.011200000000000002,Dividend,1.0089285714285712
Dividend Change %,0.20510000000000003,0.056100000000000004,Dividend,3.6559714795008915
"Dividend Growth Rate, 3 Years",0.1956,0.031000000000000003,Dividend,6.309677419354838
EPS Growth (MRQ),-0.013000000000000001,0.3309,Gowth rates,-0.03928679359323058
EPS Growth (TTM),-0.0584,2.1359,Gowth rates,-0.0273421040310876
Revenue Growth (MRQ),0.0032,0.38439999999999996,Gowth rates,0.008324661810613945
Revenue Growth (TTM),0.0269,0.7695000000000001,Gowth rates,0.034957764782326185
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.2637,0.0758,Effectiveness,3.4788918205804746
Return On Investment (TTM),0.4022,0.1005,Effectiveness,4.001990049751243
Revenue Per Employee (TTM),332455.0,285753.0,Effectiveness,1.1634348545772049
Total Debt/Total Capital (MRQ),6.16,1.1596,Financial strength,5.312176612625043
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.002,Financial strength,0.44999999999999996
Quick Ratio (MRQ),1.3,0.81,Financial strength,1.6049382716049383
Interest Coverage (MRQ),3.96,40.22,Financial strength,0.09845847836897066
