,DPZ
% Above Low,0.2994
% Held by Institutions,0.9122
52-Wk Range,['299.41 - 567.57']
Annual Dividend $,4.4
Annual Dividend %,0.0113
Ask,389.79
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.7
Bid,388.22
Bid Size,300.0
Closing Price,389.06
Day Change $,-2.68
Day Change %,-0.0068000000000000005
Day High,395.0
Day Low,387.31
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",12.39
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.34299999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.39
Prev Close,391.74
Short Interest,0.0473
Today's Open,392.56
Volume,184942.0
Volume 10-day Avg,573001.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.13398203592814362
Growth 1yr High Est,-0.07670454545454541
Growth 1yr Consensus Est,-0.10534329069134452
Growth 2yr Low Est,0.014685732252004313
Growth 2yr High Est,0.03818618881118885
Growth 2yr Consensus Est,0.02643596053159658
Growth 5yr Low Est,0.10945484812057615
Growth 5yr High Est,0.12706634787963222
Growth 5yr Consensus Est,0.11826059800010419
Growth 5yr Actual/Est,0.11284235005491597
Growth 3yr Historic,0.09808256228478318
Price/Earnings (TTM),31.39497
Price/Sales (TTM),3.06864
Price/Book (MRQ),
Price/Cash Flow (TTM),26.06569
5yr Low,168.56
5yr High,567.57
5yr Avg Return,0.18076666666666663
EPS Growth 5yr,0.2579092
Revenue Growth 5yr,0.1199875
Dividend Growth 5yr,0.19858499999999998
Short Int Current Month,1666114.0
Short Int Prev Month,1462984.0
Short Int Pct of Float,0.0473462
Days to Cover,2.19957
Float,35.19353
Shares Outstanding,35.39938
Institutions Holding Shares,868.0
FCF Growth 5yr,0.4118958777540868
"Price/Earnings (TTM, GAAP)",31.39
"PEG Ratio (TTM, GAAP)",3.57
Gross Profit Margin (TTM),0.3661
Operating Profit Margin (TTM),0.1653
Net Profit Margin (TTM),0.1002
Annual Dividend Yield,0.0113
Dividend Change %,0.20510000000000003
"Dividend Growth Rate, 3 Years",0.1956
EPS Growth (MRQ),-0.013000000000000001
EPS Growth (TTM),-0.0584
Revenue Growth (MRQ),0.0032
Revenue Growth (TTM),0.0269
Return On Equity (TTM),
Return On Assets (TTM),0.2637
Return On Investment (TTM),0.4022
Revenue Per Employee (TTM),332455.0
Total Debt/Total Capital (MRQ),6.16
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.3
Interest Coverage (MRQ),3.96
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-15 00:00:00
cfra since,2022-06-08 00:00:00
ford since,2022-07-15 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-09 00:00:00
