,SAIC
% Below High,0.0263
% Held by Institutions,0.7737999999999999
52-Wk Range,['78.10 - 113.03']
Annual Dividend $,1.48
Annual Dividend %,0.0134
Ask,110.12
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,109.98
Bid Size,100.0
Day Change $,-0.55
Day Change %,-0.005
Day High,110.97
Day Low,109.67
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.267
Last (size),7.0
Last (time),1:34p ET 11/28/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.2
Prev Close,110.61
Price,110.06
Short Interest,0.0296
Today's Open,109.67
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-05 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.027900146842878115
Growth 1yr High Est,0.002797202797202747
Growth 1yr Consensus Est,0.015348674820040431
Growth 2yr Low Est,0.028235787707153404
Growth 2yr High Est,0.04184490544323183
Growth 2yr Consensus Est,0.035040346575192616
Growth 5yr Low Est,0.0787667702580711
Growth 5yr High Est,0.08845398425314749
Growth 5yr Consensus Est,0.0836103772556093
Growth 5yr Actual/Est,0.07370025014948106
Growth 3yr Historic,0.06681587119098742
Price/Earnings (TTM),24.19535
Price/Sales (TTM),0.81227
Price/Book (MRQ),3.70271
Price/Cash Flow (TTM),14.18073
5yr Low,45.45
5yr High,113.03
5yr Avg Return,0.09286666666666667
EPS Growth 5yr,0.0888197
Revenue Growth 5yr,0.1072869
Dividend Growth 5yr,0.0360197
Short Int Current Month,1623893.0
Short Int Prev Month,1660148.0
Short Int Pct of Float,0.029640399999999997
Days to Cover,5.05013
Float,54.81137
Shares Outstanding,55.12806
Institutions Holding Shares,436.0
FCF Growth 5yr,0.22084952774220387
"Price/Earnings (TTM, GAAP)",24.2
"PEG Ratio (TTM, GAAP)",4.74
Gross Profit Margin (TTM),0.1139
Operating Profit Margin (TTM),0.059800000000000006
Net Profit Margin (TTM),0.035
Annual Dividend Yield,0.0134
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0608
EPS Growth (MRQ),0.0125
EPS Growth (TTM),-0.0588
Revenue Growth (MRQ),-0.0827
Revenue Growth (TTM),0.0356
Return On Equity (TTM),0.1595
Return On Assets (TTM),0.0455
Return On Investment (TTM),0.0587
Revenue Per Employee (TTM),288731.0
Total Debt/Total Capital (MRQ),0.5982999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.17
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2020-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-04-04 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
