,XPO
% Below High,0.2348
% Held by Institutions,0.9098
52-Wk Range,['24.75 - 48.13']
Annual Dividend $,
Annual Dividend %,
Ask,40.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.1
Bid,36.83
Bid Size,100.0
Closing Price,36.83
Day Change $,-0.82
Day Change %,-0.0218
Day High,37.84
Day Low,36.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.66
Ex-dividend Date,No dividend
Historical Volatility,1.7890000000000001
Last (size),10.0
Last (time),7:00p ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",4.92
Prev Close,37.65
Short Interest,0.048499999999999995
Today's Open,37.04
Volume,1009560.0
Volume 10-day Avg,1360892.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.24444444444444446
Growth 1yr High Est,0.27659574468085113
Growth 1yr Consensus Est,0.2605200945626478
Growth 2yr Low Est,-0.09503968253968254
Growth 2yr High Est,-0.03299842395587077
Growth 2yr Consensus Est,-0.06401905324777665
Growth 5yr Low Est,-0.02966269841269842
Growth 5yr High Est,-0.006671202149925531
Growth 5yr Consensus Est,-0.018166950281311975
Growth 5yr Actual/Est,0.12198315204856466
Growth 3yr Historic,0.15951569694949574
Price/Earnings (TTM),4.91771
Price/Sales (TTM),0.33078
Price/Book (MRQ),2.42427
Price/Cash Flow (TTM),3.1999
5yr Low,30.54
5yr High,153.45
5yr Avg Return,-0.02735000000000003
EPS Growth 5yr,0.3991266
Revenue Growth 5yr,-0.0261341
Dividend Growth 5yr,
Short Int Current Month,5429248.0
Short Int Prev Month,3601574.0
Short Int Pct of Float,0.0484522
Days to Cover,2.151
Float,113.3567
Shares Outstanding,115.1626
Institutions Holding Shares,576.0
FCF Growth 5yr,0.4089171036631707
"Price/Earnings (TTM, GAAP)",4.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.31079999999999997
Operating Profit Margin (TTM),0.0906
Net Profit Margin (TTM),0.0677
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0709
EPS Growth (TTM),3.8263
Revenue Growth (MRQ),-0.0588
Revenue Growth (TTM),0.6269
Return On Equity (TTM),0.6331
Return On Assets (TTM),0.1041
Return On Investment (TTM),0.147
Revenue Per Employee (TTM),312095.0
Total Debt/Total Capital (MRQ),0.6195
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.2
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-10-17 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
