,XPO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.92,29.96,Valuation,0.16421895861148197
Price/Sales (TTM),0.33,3.76,Valuation,0.08776595744680853
Price/Book (MRQ),2.42,7.0,Valuation,0.3457142857142857
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.31079999999999997,0.5844,Profitability,0.5318275154004106
Operating Profit Margin (TTM),0.0906,0.2133,Profitability,0.4247538677918425
Net Profit Margin (TTM),0.0677,0.1038,Profitability,0.6522157996146435
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),-0.0709,0.3065,Gowth rates,-0.2313213703099511
EPS Growth (TTM),3.8263,0.0956,Gowth rates,40.02405857740585
Revenue Growth (MRQ),-0.0588,0.2373,Gowth rates,-0.247787610619469
Revenue Growth (TTM),0.6269,0.2979,Gowth rates,2.104397448808325
Return On Equity (TTM),0.6331,0.1677,Effectiveness,3.7751937984496124
Return On Assets (TTM),0.1041,0.065,Effectiveness,1.6015384615384614
Return On Investment (TTM),0.147,0.06480000000000001,Effectiveness,2.268518518518518
Revenue Per Employee (TTM),312095.0,723294.0,Effectiveness,0.4314912055125578
Total Debt/Total Capital (MRQ),0.6195,0.5356000000000001,Financial strength,1.1566467513069454
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0005,Financial strength,-3.5999999999999996
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),6.2,13.38,Financial strength,0.46337817638266066
