,AGCO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.74,24.01,Valuation,0.4889629321116201
Price/Sales (TTM),0.83,3.06,Valuation,0.27124183006535946
Price/Book (MRQ),2.81,7.44,Valuation,0.37768817204301075
"PEG Ratio (TTM, GAAP)",1.67,1.49,Valuation,1.1208053691275168
Gross Profit Margin (TTM),0.2304,0.32799999999999996,Profitability,0.702439024390244
Operating Profit Margin (TTM),0.0893,0.0198,Profitability,4.51010101010101
Net Profit Margin (TTM),0.0655,-0.0086,Profitability,-7.616279069767442
Annual Dividend Yield,0.0072,0.0143,Dividend,0.5034965034965034
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),0.33880000000000005,0.3518,Gowth rates,0.9630471859010803
EPS Growth (TTM),0.1437,0.16149999999999998,Gowth rates,0.8897832817337462
Revenue Growth (MRQ),0.0599,0.196,Gowth rates,0.3056122448979592
Revenue Growth (TTM),0.1128,0.1475,Gowth rates,0.7647457627118645
Return On Equity (TTM),0.254,0.2859,Effectiveness,0.8884225253585171
Return On Assets (TTM),0.08310000000000001,0.0851,Effectiveness,0.9764982373678027
Return On Investment (TTM),0.1348,0.12490000000000001,Effectiveness,1.0792634107285828
Revenue Per Employee (TTM),511060.0,343373.0,Effectiveness,1.4883523165770167
Total Debt/Total Capital (MRQ),0.38530000000000003,0.6352000000000001,Financial strength,0.606580604534005
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.0189,Financial strength,0.12698412698412698
Quick Ratio (MRQ),0.66,1.07,Financial strength,0.616822429906542
Interest Coverage (MRQ),144.83,20.9,Financial strength,6.929665071770336
