,AGCO
% Below High,0.1162
% Held by Institutions,0.8117
52-Wk Range,['88.55 - 150.28']
Annual Dividend $,0.96
Annual Dividend %,0.0072
Ask,143.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,132.84
Bid Size,100.0
Closing Price,132.81
Day Change $,2.2
Day Change %,0.0168
Day High,133.0
Day Low,129.63
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.32
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.433
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.74
Prev Close,130.61
Short Interest,0.014499999999999999
Today's Open,130.37
Volume,297915.0
Volume 10-day Avg,543622.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.15450643776824036
Growth 2yr High Est,0.12219451371571077
Growth 2yr Consensus Est,-0.016155962026264792
Growth 5yr Low Est,-0.15450643776824036
Growth 5yr High Est,0.12219451371571077
Growth 5yr Consensus Est,-0.016155962026264792
Growth 5yr Actual/Est,0.33324582411574505
Growth 3yr Historic,0.27844522329816446
Price/Earnings (TTM),11.73564
Price/Sales (TTM),0.83201
Price/Book (MRQ),2.81427
Price/Cash Flow (TTM),9.39978
5yr Low,35.33
5yr High,158.62
5yr Avg Return,0.12763333333333335
EPS Growth 5yr,0.4331954
Revenue Growth 5yr,0.0849114
Dividend Growth 5yr,
Short Int Current Month,895893.0
Short Int Prev Month,1053548.0
Short Int Pct of Float,0.0144899
Days to Cover,1.39909
Float,61.93447
Shares Outstanding,74.59808
Institutions Holding Shares,601.0
FCF Growth 5yr,-0.9164860173926717
"Price/Earnings (TTM, GAAP)",11.74
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.2304
Operating Profit Margin (TTM),0.0893
Net Profit Margin (TTM),0.0655
Annual Dividend Yield,0.0072
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.33880000000000005
EPS Growth (TTM),0.1437
Revenue Growth (MRQ),0.0599
Revenue Growth (TTM),0.1128
Return On Equity (TTM),0.254
Return On Assets (TTM),0.08310000000000001
Return On Investment (TTM),0.1348
Revenue Per Employee (TTM),511060.0
Total Debt/Total Capital (MRQ),0.38530000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),144.83
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2017-05-20 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-10-20 00:00:00
