,SMTC
% Above Low,0.1562
% Held by Institutions,0.963
52-Wk Range,['25.29 - 92.15']
Annual Dividend $,
Annual Dividend %,
Ask,29.24
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,1.7
Bid,29.22
Bid Size,600.0
Day Change $,-0.37
Day Change %,-0.0125
Day High,29.5
Day Low,28.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.46
Ex-dividend Date,No dividend
Historical Volatility,0.564
Last (size),9.0
Last (time),2:42p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.05
Prev Close,29.61
Price,29.24
Short Interest,0.0786
Today's Open,29.12
Volume Past Day,(Average)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.023255813953488413
Growth 1yr High Est,0.11068702290076327
Growth 1yr Consensus Est,0.06697141842712584
Growth 2yr Low Est,-0.18534178999295275
Growth 2yr High Est,0.08798955956034726
Growth 2yr Consensus Est,-0.048676115216302746
Growth 5yr Low Est,0.07533841399027622
Growth 5yr High Est,0.21237787011420128
Growth 5yr Consensus Est,0.14385814205223874
Growth 5yr Actual/Est,0.17215336128487
Growth 3yr Historic,0.1606860902255639
Price/Earnings (TTM),12.05423
Price/Sales (TTM),2.36009
Price/Book (MRQ),2.35426
Price/Cash Flow (TTM),10.01133
5yr Low,25.29
5yr High,94.92
5yr Avg Return,0.048016666666666666
EPS Growth 5yr,0.1831081
Revenue Growth 5yr,0.0636134
Dividend Growth 5yr,
Short Int Current Month,4933147.0
Short Int Prev Month,4926038.0
Short Int Pct of Float,0.0785782
Days to Cover,4.81044
Float,62.8197
Shares Outstanding,63.51634
Institutions Holding Shares,373.0
FCF Growth 5yr,0.4110779031465365
"Price/Earnings (TTM, GAAP)",12.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6423000000000001
Operating Profit Margin (TTM),0.24
Net Profit Margin (TTM),0.1973
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3683
EPS Growth (TTM),0.7781
Revenue Growth (MRQ),0.0351
Revenue Growth (TTM),0.1821
Return On Equity (TTM),0.2108
Return On Assets (TTM),0.13670000000000002
Return On Investment (TTM),0.1539
Revenue Per Employee (TTM),553777.0
Total Debt/Total Capital (MRQ),0.1771
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),3.35
Interest Coverage (MRQ),36.58
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-02 00:00:00
theStreet since,2022-09-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-17 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
