,SEAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.15,114.03,Valuation,0.10655090765588003
Price/Sales (TTM),2.0,5.62,Valuation,0.35587188612099646
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",0.66,0.53,Valuation,1.2452830188679245
Gross Profit Margin (TTM),0.5006,0.4054,Profitability,1.2348297977306366
Operating Profit Margin (TTM),0.28690000000000004,0.163,Profitability,1.7601226993865033
Net Profit Margin (TTM),0.1833,0.0779,Profitability,2.3530166880616172
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),0.2324,0.3309,Gowth rates,0.7023269870051374
EPS Growth (TTM),1.5651,2.1359,Gowth rates,0.7327590242988904
Revenue Growth (MRQ),0.11960000000000001,0.38439999999999996,Gowth rates,0.3111342351716962
Revenue Growth (TTM),0.3299,0.7695000000000001,Gowth rates,0.42871994801819363
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.12380000000000001,0.0758,Effectiveness,1.633245382585752
Return On Investment (TTM),0.14830000000000002,0.1005,Effectiveness,1.4756218905472638
Revenue Per Employee (TTM),611263.0,285753.0,Effectiveness,2.1391306477972236
Total Debt/Total Capital (MRQ),1.2484,1.1596,Financial strength,1.0765781303897897
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.002,Financial strength,0.75
Quick Ratio (MRQ),0.5,0.81,Financial strength,0.6172839506172839
Interest Coverage (MRQ),7.55,40.22,Financial strength,0.18771755345599203
