,SEAS
% Above Low,0.33649999999999997
% Held by Institutions,1.0405
52-Wk Range,['40.01 - 76.57']
Annual Dividend $,
Annual Dividend %,
Ask,53.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.0
Bid,53.44
Bid Size,200.0
Day Change $,-0.055
Day Change %,-0.001
Day High,53.86
Day Low,53.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.4
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),1.0
Last (time),1:54p ET 11/28/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",12.15
Prev Close,53.53
Price,53.48
Short Interest,0.0916
Today's Open,53.04
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-1.9223529411764706
Growth 1yr High Est,-2.1278772378516626
Growth 1yr Consensus Est,-2.025115089514067
Growth 2yr Low Est,-0.9637274909963985
Growth 2yr High Est,-0.9687005236877361
Growth 2yr Consensus Est,-0.9662140073420673
Growth 5yr Low Est,-0.6424849939975991
Growth 5yr High Est,-0.6458003491251574
Growth 5yr Consensus Est,-0.6441426715613783
Growth 5yr Actual/Est,-1.4932858751253315
Growth 3yr Historic,-1.608572567783094
Price/Earnings (TTM),12.15406
Price/Sales (TTM),1.99811
Price/Book (MRQ),
Price/Cash Flow (TTM),7.31289
5yr Low,6.75
5yr High,76.57
5yr Avg Return,0.36045
EPS Growth 5yr,
Revenue Growth 5yr,0.0226694
Dividend Growth 5yr,
Short Int Current Month,3261398.0
Short Int Prev Month,2904671.0
Short Int Pct of Float,0.0916348
Days to Cover,3.18541
Float,35.63919
Shares Outstanding,63.88652
Institutions Holding Shares,299.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.15
"PEG Ratio (TTM, GAAP)",0.66
Gross Profit Margin (TTM),0.5006
Operating Profit Margin (TTM),0.28690000000000004
Net Profit Margin (TTM),0.1833
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2324
EPS Growth (TTM),1.5651
Revenue Growth (MRQ),0.11960000000000001
Revenue Growth (TTM),0.3299
Return On Equity (TTM),
Return On Assets (TTM),0.12380000000000001
Return On Investment (TTM),0.14830000000000002
Revenue Per Employee (TTM),611263.0
Total Debt/Total Capital (MRQ),1.2484
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),7.55
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-11-12 00:00:00
theStreet since,2022-02-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-05 00:00:00
ford since,2022-05-27 00:00:00
marketEdge opinion since,
