,CDW
% Below High,0.09820000000000001
% Held by Institutions,0.9658
52-Wk Range,['147.91 - 208.71']
Annual Dividend $,2.36
Annual Dividend %,0.0125
Ask,201.97
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,75.45
Bid Size,200.0
Closing Price,188.2
Day Change $,-1.04
Day Change %,-0.0055000000000000005
Day High,189.43
Day Low,188.0
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.61
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.318
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,25.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.74
Prev Close,189.24
Short Interest,0.0109
Today's Open,188.78
Volume,231939.0
Volume 10-day Avg,431609.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.24550128534704352
Growth 1yr High Est,0.2462121212121211
Growth 1yr Consensus Est,0.2458567032795823
Growth 2yr Low Est,0.14597045691500787
Growth 2yr High Est,0.16515266648245364
Growth 2yr Consensus Est,0.15556156169873075
Growth 5yr Low Est,0.14659544594146617
Growth 5yr High Est,0.15496781135239257
Growth 5yr Consensus Est,0.15078162864692937
Growth 5yr Actual/Est,0.14561094457631146
Growth 3yr Historic,0.07243401577153663
Price/Earnings (TTM),24.74196
Price/Sales (TTM),1.06849
Price/Book (MRQ),19.20321
Price/Cash Flow (TTM),19.42266
5yr Low,66.54
5yr High,208.71
5yr Avg Return,0.22990000000000005
EPS Growth 5yr,0.22403089999999998
Revenue Growth 5yr,0.0877488
Dividend Growth 5yr,0.2864423
Short Int Current Month,1471994.0
Short Int Prev Month,1680887.0
Short Int Pct of Float,0.0109169
Days to Cover,2.19152
Float,134.8571
Shares Outstanding,135.391
Institutions Holding Shares,1067.0
FCF Growth 5yr,0.32558881127669154
"Price/Earnings (TTM, GAAP)",24.74
"PEG Ratio (TTM, GAAP)",1.73
Gross Profit Margin (TTM),0.18789999999999998
Operating Profit Margin (TTM),0.0683
Net Profit Margin (TTM),0.0437
Annual Dividend Yield,0.0125
Dividend Change %,0.1039
"Dividend Growth Rate, 3 Years",0.2249
EPS Growth (MRQ),0.0639
EPS Growth (TTM),0.06910000000000001
Revenue Growth (MRQ),0.0113
Revenue Growth (TTM),0.1782
Return On Equity (TTM),0.9640000000000001
Return On Assets (TTM),0.09269999999999999
Return On Investment (TTM),0.1568
Revenue Per Employee (TTM),1715633.0
Total Debt/Total Capital (MRQ),0.8228
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),7.63
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-23 00:00:00
cfra since,2018-10-31 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2016-02-11 00:00:00
